cifar100 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
Train with the wcl selected dataset (by weighted the boundary points).
load parameters
Now try to run the WCL algorithm, by scaling up boundary sample scores
Scale up the boundary sample scores to 1
Start to select 12000 samples for a fair comparison.
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [=====================================================>...........] 34/40   Step: 410ms | Tot: 14s302ms | Loss: 1.861 | Acc: 58.686% (5108/8704)              
 [=======================================================>.........] 35/40   Step: 416ms | Tot: 14s719ms | Loss: 1.858 | Acc: 58.750% (5264/8960)              
 [========================================================>........] 36/40   Step: 371ms | Tot: 15s91ms | Loss: 1.859 | Acc: 58.670% (5407/9216)              
 [==========================================================>......] 37/40   Step: 367ms | Tot: 15s459ms | Loss: 1.866 | Acc: 58.615% (5552/9472)              
 [============================================================>....] 38/40   Step: 366ms | Tot: 15s825ms | Loss: 1.861 | Acc: 58.573% (5698/9728)              
 [=============================================================>...] 39/40   Step: 474ms | Tot: 16s300ms | Loss: 1.863 | Acc: 58.524% (5843/9984)              
 [===============================================================>.] 40/40   Step: 2s398ms | Tot: 18s698ms | Loss: 1.862 | Acc: 58.520% (5852/10000)
Saving with better validation accuracy model: 58.520..

Epoch: 1
 [>................................................................] 1/47   Step: 2s972ms | Tot: 0ms | Loss: 1.113 | Acc: 70.312% (180/256)              
 [=>...............................................................] 2/47   Step: 966ms | Tot: 966ms | Loss: 0.941 | Acc: 74.219% (380/512)              
 [==>..............................................................] 3/47   Step: 963ms | Tot: 1s929ms | Loss: 0.971 | Acc: 74.349% (571/768)              
 [====>............................................................] 4/47   Step: 1s121ms | Tot: 3s51ms | Loss: 0.941 | Acc: 74.902% (767/1024)              
 [=====>...........................................................] 5/47   Step: 974ms | Tot: 4s26ms | Loss: 0.935 | Acc: 75.078% (961/1280)              
 [======>..........................................................] 6/47   Step: 958ms | Tot: 4s984ms | Loss: 0.948 | Acc: 74.674% (1147/1536)              
 [========>........................................................] 7/47   Step: 967ms | Tot: 5s952ms | Loss: 0.920 | Acc: 75.223% (1348/1792)              
 [=========>.......................................................] 8/47   Step: 1s79ms | Tot: 7s32ms | Loss: 0.907 | Acc: 75.830% (1553/2048)              
 [===========>.....................................................] 9/47   Step: 961ms | Tot: 7s993ms | Loss: 0.906 | Acc: 75.738% (1745/2304)              
 [============>....................................................] 10/47   Step: 962ms | Tot: 8s956ms | Loss: 0.909 | Acc: 75.625% (1936/2560)              
 [=============>...................................................] 11/47   Step: 963ms | Tot: 9s919ms | Loss: 0.914 | Acc: 75.533% (2127/2816)              
 [===============>.................................................] 12/47   Step: 960ms | Tot: 10s880ms | Loss: 0.915 | Acc: 75.391% (2316/3072)              
 [================>................................................] 13/47   Step: 1s93ms | Tot: 11s973ms | Loss: 0.914 | Acc: 75.601% (2516/3328)              
 [=================>...............................................] 14/47   Step: 956ms | Tot: 12s930ms | Loss: 0.906 | Acc: 75.809% (2717/3584)              
 [===================>.............................................] 15/47   Step: 955ms | Tot: 13s886ms | Loss: 0.898 | Acc: 76.146% (2924/3840)              
 [====================>............................................] 16/47   Step: 954ms | Tot: 14s840ms | Loss: 0.897 | Acc: 76.245% (3123/4096)              
 [======================>..........................................] 17/47   Step: 963ms | Tot: 15s804ms | Loss: 0.895 | Acc: 76.241% (3318/4352)              
 [=======================>.........................................] 18/47   Step: 1s84ms | Tot: 16s889ms | Loss: 0.899 | Acc: 76.302% (3516/4608)              
 [========================>........................................] 19/47   Step: 955ms | Tot: 17s844ms | Loss: 0.896 | Acc: 76.254% (3709/4864)              
 [==========================>......................................] 20/47   Step: 952ms | Tot: 18s797ms | Loss: 0.895 | Acc: 76.250% (3904/5120)              
 [===========================>.....................................] 21/47   Step: 957ms | Tot: 19s754ms | Loss: 0.896 | Acc: 76.246% (4099/5376)              
 [=============================>...................................] 22/47   Step: 1s59ms | Tot: 20s813ms | Loss: 0.895 | Acc: 76.278% (4296/5632)              
 [==============================>..................................] 23/47   Step: 955ms | Tot: 21s769ms | Loss: 0.896 | Acc: 76.308% (4493/5888)              
 [===============================>.................................] 24/47   Step: 956ms | Tot: 22s726ms | Loss: 0.900 | Acc: 76.107% (4676/6144)              
 [=================================>...............................] 25/47   Step: 961ms | Tot: 23s688ms | Loss: 0.896 | Acc: 76.062% (4868/6400)              
 [==================================>..............................] 26/47   Step: 954ms | Tot: 24s643ms | Loss: 0.903 | Acc: 75.916% (5053/6656)              
 [===================================>.............................] 27/47   Step: 1s61ms | Tot: 25s704ms | Loss: 0.900 | Acc: 76.013% (5254/6912)              
 [=====================================>...........................] 28/47   Step: 977ms | Tot: 26s682ms | Loss: 0.901 | Acc: 76.046% (5451/7168)              
 [======================================>..........................] 29/47   Step: 957ms | Tot: 27s639ms | Loss: 0.904 | Acc: 76.037% (5645/7424)              
 [========================================>........................] 30/47   Step: 959ms | Tot: 28s599ms | Loss: 0.906 | Acc: 75.990% (5836/7680)              
 [=========================================>.......................] 31/47   Step: 1s61ms | Tot: 29s661ms | Loss: 0.909 | Acc: 75.895% (6023/7936)              
 [==========================================>......................] 32/47   Step: 958ms | Tot: 30s619ms | Loss: 0.910 | Acc: 75.879% (6216/8192)              
 [============================================>....................] 33/47   Step: 957ms | Tot: 31s576ms | Loss: 0.913 | Acc: 75.911% (6413/8448)              
 [=============================================>...................] 34/47   Step: 960ms | Tot: 32s536ms | Loss: 0.910 | Acc: 75.862% (6603/8704)              
 [===============================================>.................] 35/47   Step: 962ms | Tot: 33s499ms | Loss: 0.914 | Acc: 75.815% (6793/8960)              
 [================================================>................] 36/47   Step: 1s68ms | Tot: 34s567ms | Loss: 0.916 | Acc: 75.760% (6982/9216)              
 [=================================================>...............] 37/47   Step: 961ms | Tot: 35s528ms | Loss: 0.916 | Acc: 75.792% (7179/9472)              
 [===================================================>.............] 38/47   Step: 976ms | Tot: 36s505ms | Loss: 0.915 | Acc: 75.792% (7373/9728)              
 [====================================================>............] 39/47   Step: 952ms | Tot: 37s457ms | Loss: 0.920 | Acc: 75.641% (7552/9984)              
 [=====================================================>...........] 40/47   Step: 961ms | Tot: 38s418ms | Loss: 0.921 | Acc: 75.625% (7744/10240)              
 [=======================================================>.........] 41/47   Step: 1s61ms | Tot: 39s480ms | Loss: 0.919 | Acc: 75.676% (7943/10496)              
 [========================================================>........] 42/47   Step: 956ms | Tot: 40s436ms | Loss: 0.919 | Acc: 75.716% (8141/10752)              
 [==========================================================>......] 43/47   Step: 948ms | Tot: 41s384ms | Loss: 0.916 | Acc: 75.681% (8331/11008)              
 [===========================================================>.....] 44/47   Step: 846ms | Tot: 42s231ms | Loss: 0.913 | Acc: 75.763% (8534/11264)              
 [============================================================>....] 45/47   Step: 957ms | Tot: 43s188ms | Loss: 0.913 | Acc: 75.729% (8724/11520)              
 [==============================================================>..] 46/47   Step: 843ms | Tot: 44s31ms | Loss: 0.913 | Acc: 75.807% (8927/11776)              
 [===============================================================>.] 47/47   Step: 854ms | Tot: 44s886ms | Loss: 0.912 | Acc: 75.792% (9095/12000)
 [>................................................................] 1/40   Step: 1s77ms | Tot: 0ms | Loss: 1.522 | Acc: 60.156% (154/256)              
 [=>...............................................................] 2/40   Step: 425ms | Tot: 425ms | Loss: 1.429 | Acc: 62.891% (322/512)              
 [===>.............................................................] 3/40   Step: 574ms | Tot: 1s | Loss: 1.497 | Acc: 62.891% (483/768)              
 [====>............................................................] 4/40   Step: 410ms | Tot: 1s410ms | Loss: 1.541 | Acc: 62.109% (636/1024)              
 [======>..........................................................] 5/40   Step: 414ms | Tot: 1s825ms | Loss: 1.571 | Acc: 61.172% (783/1280)              
 [========>........................................................] 6/40   Step: 410ms | Tot: 2s235ms | Loss: 1.572 | Acc: 61.198% (940/1536)              
 [=========>.......................................................] 7/40   Step: 408ms | Tot: 2s644ms | Loss: 1.591 | Acc: 61.384% (1100/1792)              
 [===========>.....................................................] 8/40   Step: 409ms | Tot: 3s53ms | Loss: 1.604 | Acc: 61.182% (1253/2048)              
 [=============>...................................................] 9/40   Step: 513ms | Tot: 3s567ms | Loss: 1.585 | Acc: 61.892% (1426/2304)              
 [==============>..................................................] 10/40   Step: 410ms | Tot: 3s977ms | Loss: 1.569 | Acc: 62.148% (1591/2560)              
 [================>................................................] 11/40   Step: 409ms | Tot: 4s386ms | Loss: 1.563 | Acc: 62.145% (1750/2816)              
 [=================>...............................................] 12/40   Step: 412ms | Tot: 4s799ms | Loss: 1.564 | Acc: 62.077% (1907/3072)              
 [===================>.............................................] 13/40   Step: 411ms | Tot: 5s210ms | Loss: 1.566 | Acc: 62.320% (2074/3328)              
 [=====================>...........................................] 14/40   Step: 519ms | Tot: 5s729ms | Loss: 1.593 | Acc: 61.830% (2216/3584)              
 [======================>..........................................] 15/40   Step: 410ms | Tot: 6s140ms | Loss: 1.600 | Acc: 61.693% (2369/3840)              
 [========================>........................................] 16/40   Step: 411ms | Tot: 6s551ms | Loss: 1.604 | Acc: 61.670% (2526/4096)              
 [==========================>......................................] 17/40   Step: 417ms | Tot: 6s969ms | Loss: 1.606 | Acc: 61.627% (2682/4352)              
 [===========================>.....................................] 18/40   Step: 409ms | Tot: 7s378ms | Loss: 1.614 | Acc: 61.480% (2833/4608)              
 [=============================>...................................] 19/40   Step: 408ms | Tot: 7s787ms | Loss: 1.616 | Acc: 61.308% (2982/4864)              
 [==============================>..................................] 20/40   Step: 513ms | Tot: 8s301ms | Loss: 1.611 | Acc: 61.562% (3152/5120)              
 [================================>................................] 21/40   Step: 408ms | Tot: 8s710ms | Loss: 1.615 | Acc: 61.533% (3308/5376)              
 [==================================>..............................] 22/40   Step: 411ms | Tot: 9s122ms | Loss: 1.620 | Acc: 61.435% (3460/5632)              
 [===================================>.............................] 23/40   Step: 409ms | Tot: 9s531ms | Loss: 1.627 | Acc: 61.243% (3606/5888)              
 [=====================================>...........................] 24/40   Step: 411ms | Tot: 9s942ms | Loss: 1.639 | Acc: 61.182% (3759/6144)              
 [=======================================>.........................] 25/40   Step: 528ms | Tot: 10s471ms | Loss: 1.634 | Acc: 61.156% (3914/6400)              
 [========================================>........................] 26/40   Step: 412ms | Tot: 10s883ms | Loss: 1.633 | Acc: 61.088% (4066/6656)              
 [==========================================>......................] 27/40   Step: 410ms | Tot: 11s294ms | Loss: 1.634 | Acc: 61.053% (4220/6912)              
 [===========================================>.....................] 28/40   Step: 410ms | Tot: 11s705ms | Loss: 1.629 | Acc: 61.105% (4380/7168)              
 [=============================================>...................] 29/40   Step: 410ms | Tot: 12s116ms | Loss: 1.630 | Acc: 60.978% (4527/7424)              
 [===============================================>.................] 30/40   Step: 412ms | Tot: 12s528ms | Loss: 1.629 | Acc: 61.042% (4688/7680)              
 [================================================>................] 31/40   Step: 513ms | Tot: 13s41ms | Loss: 1.634 | Acc: 60.900% (4833/7936)              
 [==================================================>..............] 32/40   Step: 408ms | Tot: 13s450ms | Loss: 1.632 | Acc: 61.023% (4999/8192)              
 [====================================================>............] 33/40   Step: 409ms | Tot: 13s860ms | Loss: 1.637 | Acc: 60.902% (5145/8448)              
 [=====================================================>...........] 34/40   Step: 410ms | Tot: 14s270ms | Loss: 1.646 | Acc: 60.777% (5290/8704)              
 [=======================================================>.........] 35/40   Step: 412ms | Tot: 14s682ms | Loss: 1.643 | Acc: 60.859% (5453/8960)              
 [========================================================>........] 36/40   Step: 480ms | Tot: 15s163ms | Loss: 1.642 | Acc: 60.807% (5604/9216)              
 [==========================================================>......] 37/40   Step: 368ms | Tot: 15s531ms | Loss: 1.647 | Acc: 60.705% (5750/9472)              
 [============================================================>....] 38/40   Step: 371ms | Tot: 15s902ms | Loss: 1.641 | Acc: 60.835% (5918/9728)              
 [=============================================================>...] 39/40   Step: 371ms | Tot: 16s274ms | Loss: 1.643 | Acc: 60.887% (6079/9984)              
 [===============================================================>.] 40/40   Step: 369ms | Tot: 16s643ms | Loss: 1.642 | Acc: 60.880% (6088/10000)
Saving with better validation accuracy model: 60.880..

Epoch: 2
 [>................................................................] 1/47   Step: 2s80ms | Tot: 0ms | Loss: 0.870 | Acc: 76.953% (197/256)              
 [=>...............................................................] 2/47   Step: 963ms | Tot: 964ms | Loss: 0.884 | Acc: 76.562% (392/512)              
 [==>..............................................................] 3/47   Step: 974ms | Tot: 1s938ms | Loss: 0.838 | Acc: 77.214% (593/768)              
 [====>............................................................] 4/47   Step: 958ms | Tot: 2s897ms | Loss: 0.800 | Acc: 78.027% (799/1024)              
 [=====>...........................................................] 5/47   Step: 960ms | Tot: 3s857ms | Loss: 0.765 | Acc: 78.672% (1007/1280)              
 [======>..........................................................] 6/47   Step: 1s95ms | Tot: 4s953ms | Loss: 0.775 | Acc: 78.581% (1207/1536)              
 [========>........................................................] 7/47   Step: 962ms | Tot: 5s915ms | Loss: 0.761 | Acc: 79.241% (1420/1792)              
 [=========>.......................................................] 8/47   Step: 958ms | Tot: 6s874ms | Loss: 0.750 | Acc: 79.541% (1629/2048)              
 [===========>.....................................................] 9/47   Step: 956ms | Tot: 7s830ms | Loss: 0.749 | Acc: 79.818% (1839/2304)              
