cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 3
Train with the whole dataset.
load parameters
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [==============================================================>..] 151/157   Step: 950ms | Tot: 2m27s | Loss: 0.010 | Acc: 99.736% (38554/38656)              
 [==============================================================>..] 152/157   Step: 949ms | Tot: 2m28s | Loss: 0.011 | Acc: 99.735% (38809/38912)              
 [==============================================================>..] 153/157   Step: 968ms | Tot: 2m29s | Loss: 0.011 | Acc: 99.734% (39064/39168)              
 [===============================================================>.] 154/157   Step: 839ms | Tot: 2m30s | Loss: 0.010 | Acc: 99.734% (39319/39424)              
 [===============================================================>.] 155/157   Step: 843ms | Tot: 2m31s | Loss: 0.010 | Acc: 99.735% (39575/39680)              
 [================================================================>] 156/157   Step: 835ms | Tot: 2m32s | Loss: 0.010 | Acc: 99.735% (39830/39936)              
 [================================================================>] 157/157   Step: 8s69ms | Tot: 2m40s | Loss: 0.010 | Acc: 99.735% (39894/40000)
 [>................................................................] 1/40   Step: 1s73ms | Tot: 0ms | Loss: 0.122 | Acc: 96.875% (248/256)              
 [=>...............................................................] 2/40   Step: 415ms | Tot: 415ms | Loss: 0.256 | Acc: 93.945% (481/512)              
 [===>.............................................................] 3/40   Step: 411ms | Tot: 827ms | Loss: 0.234 | Acc: 94.401% (725/768)              
 [====>............................................................] 4/40   Step: 425ms | Tot: 1s252ms | Loss: 0.201 | Acc: 95.020% (973/1024)              
 [======>..........................................................] 5/40   Step: 410ms | Tot: 1s662ms | Loss: 0.191 | Acc: 95.000% (1216/1280)              
 [========>........................................................] 6/40   Step: 596ms | Tot: 2s259ms | Loss: 0.190 | Acc: 95.052% (1460/1536)              
 [=========>.......................................................] 7/40   Step: 410ms | Tot: 2s669ms | Loss: 0.194 | Acc: 95.089% (1704/1792)              
 [===========>.....................................................] 8/40   Step: 409ms | Tot: 3s78ms | Loss: 0.188 | Acc: 95.264% (1951/2048)              
 [=============>...................................................] 9/40   Step: 410ms | Tot: 3s488ms | Loss: 0.189 | Acc: 95.399% (2198/2304)              
 [==============>..................................................] 10/40   Step: 412ms | Tot: 3s901ms | Loss: 0.185 | Acc: 95.469% (2444/2560)              
 [================>................................................] 11/40   Step: 408ms | Tot: 4s309ms | Loss: 0.189 | Acc: 95.455% (2688/2816)              
 [=================>...............................................] 12/40   Step: 511ms | Tot: 4s821ms | Loss: 0.192 | Acc: 95.247% (2926/3072)              
 [===================>.............................................] 13/40   Step: 408ms | Tot: 5s230ms | Loss: 0.199 | Acc: 95.072% (3164/3328)              
 [=====================>...........................................] 14/40   Step: 410ms | Tot: 5s640ms | Loss: 0.194 | Acc: 95.089% (3408/3584)              
 [======================>..........................................] 15/40   Step: 409ms | Tot: 6s50ms | Loss: 0.196 | Acc: 95.130% (3653/3840)              
 [========================>........................................] 16/40   Step: 410ms | Tot: 6s460ms | Loss: 0.204 | Acc: 95.044% (3893/4096)              
 [==========================>......................................] 17/40   Step: 408ms | Tot: 6s869ms | Loss: 0.200 | Acc: 95.083% (4138/4352)              
 [===========================>.....................................] 18/40   Step: 511ms | Tot: 7s380ms | Loss: 0.203 | Acc: 94.987% (4377/4608)              
 [=============================>...................................] 19/40   Step: 414ms | Tot: 7s794ms | Loss: 0.204 | Acc: 94.922% (4617/4864)              
 [==============================>..................................] 20/40   Step: 408ms | Tot: 8s203ms | Loss: 0.205 | Acc: 94.902% (4859/5120)              
 [================================>................................] 21/40   Step: 407ms | Tot: 8s610ms | Loss: 0.204 | Acc: 94.922% (5103/5376)              
 [==================================>..............................] 22/40   Step: 408ms | Tot: 9s19ms | Loss: 0.202 | Acc: 94.975% (5349/5632)              
 [===================================>.............................] 23/40   Step: 408ms | Tot: 9s428ms | Loss: 0.203 | Acc: 94.905% (5588/5888)              
 [=====================================>...........................] 24/40   Step: 522ms | Tot: 9s950ms | Loss: 0.202 | Acc: 94.954% (5834/6144)              
 [=======================================>.........................] 25/40   Step: 409ms | Tot: 10s360ms | Loss: 0.207 | Acc: 94.859% (6071/6400)              
 [========================================>........................] 26/40   Step: 409ms | Tot: 10s769ms | Loss: 0.214 | Acc: 94.742% (6306/6656)              
 [==========================================>......................] 27/40   Step: 423ms | Tot: 11s193ms | Loss: 0.215 | Acc: 94.719% (6547/6912)              
 [===========================================>.....................] 28/40   Step: 408ms | Tot: 11s602ms | Loss: 0.214 | Acc: 94.685% (6787/7168)              
 [=============================================>...................] 29/40   Step: 407ms | Tot: 12s9ms | Loss: 0.212 | Acc: 94.693% (7030/7424)              
 [===============================================>.................] 30/40   Step: 509ms | Tot: 12s518ms | Loss: 0.212 | Acc: 94.701% (7273/7680)              
 [================================================>................] 31/40   Step: 407ms | Tot: 12s926ms | Loss: 0.212 | Acc: 94.682% (7514/7936)              
 [==================================================>..............] 32/40   Step: 408ms | Tot: 13s334ms | Loss: 0.209 | Acc: 94.763% (7763/8192)              
 [====================================================>............] 33/40   Step: 411ms | Tot: 13s745ms | Loss: 0.209 | Acc: 94.780% (8007/8448)              
 [=====================================================>...........] 34/40   Step: 408ms | Tot: 14s154ms | Loss: 0.208 | Acc: 94.807% (8252/8704)              
 [=======================================================>.........] 35/40   Step: 408ms | Tot: 14s562ms | Loss: 0.210 | Acc: 94.788% (8493/8960)              
 [========================================================>........] 36/40   Step: 469ms | Tot: 15s32ms | Loss: 0.213 | Acc: 94.737% (8731/9216)              
 [==========================================================>......] 37/40   Step: 367ms | Tot: 15s399ms | Loss: 0.211 | Acc: 94.785% (8978/9472)              
 [============================================================>....] 38/40   Step: 363ms | Tot: 15s763ms | Loss: 0.214 | Acc: 94.757% (9218/9728)              
 [=============================================================>...] 39/40   Step: 364ms | Tot: 16s128ms | Loss: 0.214 | Acc: 94.732% (9458/9984)              
 [===============================================================>.] 40/40   Step: 2s290ms | Tot: 18s419ms | Loss: 0.213 | Acc: 94.740% (9474/10000)
Saving with better validation accuracy model: 94.740..

Epoch: 1
 [>................................................................] 1/157   Step: 3s238ms | Tot: 0ms | Loss: 0.004 | Acc: 100.000% (256/256)              
 [>................................................................] 2/157   Step: 959ms | Tot: 959ms | Loss: 0.004 | Acc: 100.000% (512/512)              
 [>................................................................] 3/157   Step: 954ms | Tot: 1s914ms | Loss: 0.003 | Acc: 100.000% (768/768)              
 [=>...............................................................] 4/157   Step: 957ms | Tot: 2s871ms | Loss: 0.003 | Acc: 100.000% (1024/1024)              
 [=>...............................................................] 5/157   Step: 955ms | Tot: 3s826ms | Loss: 0.005 | Acc: 99.922% (1279/1280)              
 [==>..............................................................] 6/157   Step: 1s54ms | Tot: 4s881ms | Loss: 0.005 | Acc: 99.935% (1535/1536)              
 [==>..............................................................] 7/157   Step: 955ms | Tot: 5s837ms | Loss: 0.005 | Acc: 99.944% (1791/1792)              
 [==>..............................................................] 8/157   Step: 951ms | Tot: 6s789ms | Loss: 0.005 | Acc: 99.951% (2047/2048)              
 [===>.............................................................] 9/157   Step: 954ms | Tot: 7s743ms | Loss: 0.004 | Acc: 99.957% (2303/2304)              
 [===>.............................................................] 10/157   Step: 1s51ms | Tot: 8s795ms | Loss: 0.004 | Acc: 99.961% (2559/2560)              
 [====>............................................................] 11/157   Step: 969ms | Tot: 9s765ms | Loss: 0.005 | Acc: 99.964% (2815/2816)              
 [====>............................................................] 12/157   Step: 954ms | Tot: 10s719ms | Loss: 0.004 | Acc: 99.967% (3071/3072)              
 [====>............................................................] 13/157   Step: 952ms | Tot: 11s672ms | Loss: 0.005 | Acc: 99.970% (3327/3328)              
 [=====>...........................................................] 14/157   Step: 955ms | Tot: 12s627ms | Loss: 0.005 | Acc: 99.972% (3583/3584)              
 [=====>...........................................................] 15/157   Step: 1s52ms | Tot: 13s680ms | Loss: 0.004 | Acc: 99.974% (3839/3840)              
 [======>..........................................................] 16/157   Step: 954ms | Tot: 14s635ms | Loss: 0.004 | Acc: 99.976% (4095/4096)              
 [======>..........................................................] 17/157   Step: 965ms | Tot: 15s600ms | Loss: 0.004 | Acc: 99.977% (4351/4352)              
 [=======>.........................................................] 18/157   Step: 961ms | Tot: 16s561ms | Loss: 0.005 | Acc: 99.978% (4607/4608)              
 [=======>.........................................................] 19/157   Step: 952ms | Tot: 17s514ms | Loss: 0.004 | Acc: 99.979% (4863/4864)              
 [=======>.........................................................] 20/157   Step: 1s50ms | Tot: 18s564ms | Loss: 0.004 | Acc: 99.980% (5119/5120)              
 [========>........................................................] 21/157   Step: 970ms | Tot: 19s534ms | Loss: 0.005 | Acc: 99.981% (5375/5376)              
 [========>........................................................] 22/157   Step: 950ms | Tot: 20s485ms | Loss: 0.005 | Acc: 99.982% (5631/5632)              
 [=========>.......................................................] 23/157   Step: 952ms | Tot: 21s437ms | Loss: 0.005 | Acc: 99.983% (5887/5888)              
 [=========>.......................................................] 24/157   Step: 1s57ms | Tot: 22s495ms | Loss: 0.005 | Acc: 99.984% (6143/6144)              
