cifar100 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
Train with the cl selected dataset.
load parameters
------------------ Start to select subsets ------------------
Selected 70 percent training data.
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [>................................................................] 1/110   Step: 1m438ms | Tot: 0ms | Loss: 0.393 | Acc: 90.234% (231/256)              
 [>................................................................] 2/110   Step: 1s972ms | Tot: 1s972ms | Loss: 0.443 | Acc: 89.453% (458/512)              
 [=>...............................................................] 3/110   Step: 991ms | Tot: 2s964ms | Loss: 0.468 | Acc: 88.672% (681/768)              
 [=>...............................................................] 4/110   Step: 1s155ms | Tot: 4s119ms | Loss: 0.442 | Acc: 89.258% (914/1024)              
 [==>..............................................................] 5/110   Step: 962ms | Tot: 5s81ms | Loss: 0.460 | Acc: 88.984% (1139/1280)              
 [==>..............................................................] 6/110   Step: 957ms | Tot: 6s39ms | Loss: 0.498 | Acc: 88.086% (1353/1536)              
 [===>.............................................................] 7/110   Step: 967ms | Tot: 7s7ms | Loss: 0.498 | Acc: 88.058% (1578/1792)              
 [====>............................................................] 8/110   Step: 958ms | Tot: 7s965ms | Loss: 0.494 | Acc: 87.939% (1801/2048)              
 [====>............................................................] 9/110   Step: 1s65ms | Tot: 9s31ms | Loss: 0.482 | Acc: 88.151% (2031/2304)              
 [=====>...........................................................] 10/110   Step: 962ms | Tot: 9s993ms | Loss: 0.474 | Acc: 88.438% (2264/2560)              
 [=====>...........................................................] 11/110   Step: 961ms | Tot: 10s954ms | Loss: 0.468 | Acc: 88.601% (2495/2816)              
 [======>..........................................................] 12/110   Step: 955ms | Tot: 11s910ms | Loss: 0.477 | Acc: 88.444% (2717/3072)              
 [=======>.........................................................] 13/110   Step: 981ms | Tot: 12s891ms | Loss: 0.473 | Acc: 88.431% (2943/3328)              
 [==========================================>......................] 27/40   Step: 420ms | Tot: 11s566ms | Loss: 1.128 | Acc: 72.410% (5005/6912)              
 [===========================================>.....................] 28/40   Step: 415ms | Tot: 11s981ms | Loss: 1.121 | Acc: 72.559% (5201/7168)              
 [=============================================>...................] 29/40   Step: 414ms | Tot: 12s396ms | Loss: 1.120 | Acc: 72.535% (5385/7424)              
 [===============================================>.................] 30/40   Step: 414ms | Tot: 12s810ms | Loss: 1.114 | Acc: 72.669% (5581/7680)              
 [================================================>................] 31/40   Step: 517ms | Tot: 13s328ms | Loss: 1.116 | Acc: 72.757% (5774/7936)              
 [==================================================>..............] 32/40   Step: 414ms | Tot: 13s742ms | Loss: 1.116 | Acc: 72.705% (5956/8192)              
 [====================================================>............] 33/40   Step: 413ms | Tot: 14s156ms | Loss: 1.119 | Acc: 72.585% (6132/8448)              
 [=====================================================>...........] 34/40   Step: 414ms | Tot: 14s570ms | Loss: 1.126 | Acc: 72.495% (6310/8704)              
 [=======================================================>.........] 35/40   Step: 415ms | Tot: 14s986ms | Loss: 1.127 | Acc: 72.511% (6497/8960)              
 [========================================================>........] 36/40   Step: 480ms | Tot: 15s466ms | Loss: 1.128 | Acc: 72.461% (6678/9216)              
 [==========================================================>......] 37/40   Step: 371ms | Tot: 15s837ms | Loss: 1.129 | Acc: 72.435% (6861/9472)              
 [============================================================>....] 38/40   Step: 387ms | Tot: 16s224ms | Loss: 1.124 | Acc: 72.584% (7061/9728)              
 [=============================================================>...] 39/40   Step: 371ms | Tot: 16s595ms | Loss: 1.127 | Acc: 72.496% (7238/9984)              
 [===============================================================>.] 40/40   Step: 2s316ms | Tot: 18s911ms | Loss: 1.127 | Acc: 72.510% (7251/10000)
Saving with better validation accuracy model: 72.510..

Epoch: 1
 [>................................................................] 1/110   Step: 3s55ms | Tot: 0ms | Loss: 0.247 | Acc: 93.359% (239/256)              
 [>................................................................] 2/110   Step: 1s156ms | Tot: 1s156ms | Loss: 0.206 | Acc: 94.336% (483/512)              
 [=>...............................................................] 3/110   Step: 980ms | Tot: 2s137ms | Loss: 0.224 | Acc: 94.401% (725/768)              
 [=>...............................................................] 4/110   Step: 980ms | Tot: 3s117ms | Loss: 0.236 | Acc: 94.336% (966/1024)              
 [==>..............................................................] 5/110   Step: 978ms | Tot: 4s95ms | Loss: 0.243 | Acc: 93.984% (1203/1280)              
 [==>..............................................................] 6/110   Step: 1s102ms | Tot: 5s198ms | Loss: 0.248 | Acc: 93.880% (1442/1536)              
 [===>.............................................................] 7/110   Step: 984ms | Tot: 6s182ms | Loss: 0.250 | Acc: 93.806% (1681/1792)              
 [====>............................................................] 8/110   Step: 983ms | Tot: 7s165ms | Loss: 0.255 | Acc: 93.604% (1917/2048)              
 [====>............................................................] 9/110   Step: 964ms | Tot: 8s130ms | Loss: 0.255 | Acc: 93.576% (2156/2304)              
 [=====>...........................................................] 10/110   Step: 958ms | Tot: 9s88ms | Loss: 0.254 | Acc: 93.633% (2397/2560)              
 [=====>...........................................................] 11/110   Step: 1s64ms | Tot: 10s153ms | Loss: 0.263 | Acc: 93.501% (2633/2816)              
 [======>..........................................................] 12/110   Step: 957ms | Tot: 11s110ms | Loss: 0.267 | Acc: 93.392% (2869/3072)              
 [=======>.........................................................] 13/110   Step: 962ms | Tot: 12s72ms | Loss: 0.266 | Acc: 93.329% (3106/3328)              
 [=======>.........................................................] 14/110   Step: 961ms | Tot: 13s34ms | Loss: 0.265 | Acc: 93.276% (3343/3584)              
 [========>........................................................] 15/110   Step: 1s65ms | Tot: 14s100ms | Loss: 0.260 | Acc: 93.333% (3584/3840)              
 [========>........................................................] 16/110   Step: 978ms | Tot: 15s79ms | Loss: 0.255 | Acc: 93.457% (3828/4096)              
 [=========>.......................................................] 17/110   Step: 961ms | Tot: 16s40ms | Loss: 0.252 | Acc: 93.543% (4071/4352)              
 [==========>......................................................] 18/110   Step: 961ms | Tot: 17s2ms | Loss: 0.257 | Acc: 93.468% (4307/4608)              
 [==========>......................................................] 19/110   Step: 959ms | Tot: 17s961ms | Loss: 0.260 | Acc: 93.400% (4543/4864)              
 [===========>.....................................................] 20/110   Step: 1s69ms | Tot: 19s31ms | Loss: 0.259 | Acc: 93.398% (4782/5120)              
 [===========>.....................................................] 21/110   Step: 959ms | Tot: 19s991ms | Loss: 0.258 | Acc: 93.508% (5027/5376)              
 [============>....................................................] 22/110   Step: 959ms | Tot: 20s950ms | Loss: 0.258 | Acc: 93.555% (5269/5632)              
 [=============>...................................................] 23/110   Step: 958ms | Tot: 21s909ms | Loss: 0.258 | Acc: 93.546% (5508/5888)              
