cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 1
Train with the pop selected dataset.
Now try to run the algorithm POP
------------------ Start to select subsets ------------------
Selected 14546 samples for weakkness <= 9.
Train with the selected 14546 samples.
Use multiple GPU to train the network.
Use 150 epochs

Epoch: 0
 [>................................................................] 1/57   Step: 1m458ms | Tot: 0ms | Loss: 2.289 | Acc: 7.422% (19/256)              
 [=>...............................................................] 2/57   Step: 1s993ms | Tot: 1s993ms | Loss: 2.285 | Acc: 17.383% (89/512)              
 [==>..............................................................] 3/57   Step: 990ms | Tot: 2s984ms | Loss: 2.294 | Acc: 18.880% (145/768)              
 [===>.............................................................] 4/57   Step: 1s141ms | Tot: 4s126ms | Loss: 2.305 | Acc: 19.043% (195/1024)              
 [====>............................................................] 5/57   Step: 978ms | Tot: 5s104ms | Loss: 2.289 | Acc: 18.906% (242/1280)              
 [=====>...........................................................] 6/57   Step: 971ms | Tot: 6s76ms | Loss: 2.278 | Acc: 18.880% (290/1536)              
 [======>..........................................................] 7/57   Step: 975ms | Tot: 7s51ms | Loss: 2.269 | Acc: 19.196% (344/1792)              
 [=======>.........................................................] 8/57   Step: 974ms | Tot: 8s25ms | Loss: 2.258 | Acc: 19.482% (399/2048)              
 [=========>.......................................................] 9/57   Step: 1s78ms | Tot: 9s104ms | Loss: 2.260 | Acc: 19.227% (443/2304)              
 [==========>......................................................] 10/57   Step: 996ms | Tot: 10s100ms | Loss: 2.260 | Acc: 18.906% (484/2560)              
 [===========>.....................................................] 11/57   Step: 971ms | Tot: 11s72ms | Loss: 2.243 | Acc: 19.354% (545/2816)              
 [============>....................................................] 12/57   Step: 970ms | Tot: 12s42ms | Loss: 2.246 | Acc: 19.271% (592/3072)              
 [=============>...................................................] 13/57   Step: 1s82ms | Tot: 13s125ms | Loss: 2.239 | Acc: 19.141% (637/3328)              
 [==============>..................................................] 14/57   Step: 972ms | Tot: 14s97ms | Loss: 2.227 | Acc: 19.754% (708/3584)              
 [==========================================================>......] 52/57   Step: 1s86ms | Tot: 51s45ms | Loss: 1.843 | Acc: 30.536% (4065/13312)              
 [===========================================================>.....] 53/57   Step: 956ms | Tot: 52s2ms | Loss: 1.840 | Acc: 30.646% (4158/13568)              
 [============================================================>....] 54/57   Step: 859ms | Tot: 52s861ms | Loss: 1.839 | Acc: 30.650% (4237/13824)              
 [=============================================================>...] 55/57   Step: 859ms | Tot: 53s721ms | Loss: 1.841 | Acc: 30.575% (4305/14080)              
 [==============================================================>..] 56/57   Step: 858ms | Tot: 54s579ms | Loss: 1.840 | Acc: 30.650% (4394/14336)              
 [===============================================================>.] 57/57   Step: 967ms | Tot: 55s547ms | Loss: 1.840 | Acc: 30.627% (4455/14546)
 [>................................................................] 1/40   Step: 1s29ms | Tot: 0ms | Loss: 1.612 | Acc: 38.672% (99/256)              
 [=>...............................................................] 2/40   Step: 427ms | Tot: 428ms | Loss: 1.668 | Acc: 37.695% (193/512)              
 [===>.............................................................] 3/40   Step: 429ms | Tot: 857ms | Loss: 1.666 | Acc: 38.021% (292/768)              
 [====>............................................................] 4/40   Step: 428ms | Tot: 1s286ms | Loss: 1.657 | Acc: 38.379% (393/1024)              
 [======>..........................................................] 5/40   Step: 586ms | Tot: 1s872ms | Loss: 1.670 | Acc: 38.125% (488/1280)              
 [========>........................................................] 6/40   Step: 425ms | Tot: 2s297ms | Loss: 1.664 | Acc: 37.891% (582/1536)              
 [=========>.......................................................] 7/40   Step: 428ms | Tot: 2s726ms | Loss: 1.655 | Acc: 37.946% (680/1792)              
 [===========>.....................................................] 8/40   Step: 428ms | Tot: 3s155ms | Loss: 1.664 | Acc: 37.598% (770/2048)              
 [=============>...................................................] 9/40   Step: 430ms | Tot: 3s586ms | Loss: 1.669 | Acc: 37.717% (869/2304)              
 [==============>..................................................] 10/40   Step: 530ms | Tot: 4s116ms | Loss: 1.675 | Acc: 37.188% (952/2560)              
 [================>................................................] 11/40   Step: 436ms | Tot: 4s553ms | Loss: 1.678 | Acc: 37.180% (1047/2816)              
 [=================>...............................................] 12/40   Step: 422ms | Tot: 4s976ms | Loss: 1.686 | Acc: 36.849% (1132/3072)              
 [===================>.............................................] 13/40   Step: 424ms | Tot: 5s401ms | Loss: 1.689 | Acc: 36.689% (1221/3328)              
 [=====================>...........................................] 14/40   Step: 423ms | Tot: 5s824ms | Loss: 1.685 | Acc: 36.663% (1314/3584)              
 [======================>..........................................] 15/40   Step: 422ms | Tot: 6s247ms | Loss: 1.684 | Acc: 36.693% (1409/3840)              
 [========================>........................................] 16/40   Step: 526ms | Tot: 6s773ms | Loss: 1.682 | Acc: 36.816% (1508/4096)              
 [==========================>......................................] 17/40   Step: 424ms | Tot: 7s198ms | Loss: 1.682 | Acc: 36.903% (1606/4352)              
 [===========================>.....................................] 18/40   Step: 432ms | Tot: 7s630ms | Loss: 1.682 | Acc: 37.044% (1707/4608)              
 [=============================>...................................] 19/40   Step: 425ms | Tot: 8s56ms | Loss: 1.681 | Acc: 37.192% (1809/4864)              
 [==============================>..................................] 20/40   Step: 432ms | Tot: 8s489ms | Loss: 1.682 | Acc: 37.129% (1901/5120)              
 [================================>................................] 21/40   Step: 534ms | Tot: 9s24ms | Loss: 1.684 | Acc: 37.184% (1999/5376)              
 [==================================>..............................] 22/40   Step: 425ms | Tot: 9s449ms | Loss: 1.684 | Acc: 37.021% (2085/5632)              
 [===================================>.............................] 23/40   Step: 425ms | Tot: 9s875ms | Loss: 1.689 | Acc: 36.736% (2163/5888)              
 [=====================================>...........................] 24/40   Step: 421ms | Tot: 10s297ms | Loss: 1.692 | Acc: 36.719% (2256/6144)              
 [=======================================>.........................] 25/40   Step: 418ms | Tot: 10s715ms | Loss: 1.695 | Acc: 36.578% (2341/6400)              
 [========================================>........................] 26/40   Step: 421ms | Tot: 11s136ms | Loss: 1.698 | Acc: 36.478% (2428/6656)              
 [==========================================>......................] 27/40   Step: 525ms | Tot: 11s662ms | Loss: 1.695 | Acc: 36.632% (2532/6912)              
 [===========================================>.....................] 28/40   Step: 422ms | Tot: 12s84ms | Loss: 1.697 | Acc: 36.551% (2620/7168)              
 [=============================================>...................] 29/40   Step: 419ms | Tot: 12s503ms | Loss: 1.693 | Acc: 36.678% (2723/7424)              
 [===============================================>.................] 30/40   Step: 417ms | Tot: 12s921ms | Loss: 1.692 | Acc: 36.823% (2828/7680)              
 [================================================>................] 31/40   Step: 415ms | Tot: 13s337ms | Loss: 1.690 | Acc: 36.908% (2929/7936)              
 [==================================================>..............] 32/40   Step: 524ms | Tot: 13s861ms | Loss: 1.691 | Acc: 36.841% (3018/8192)              
