cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
Train with the pop selected dataset.
load parameters
Now try to run the algorithm POP
------------------ Start to select subsets ------------------
Selected 9674 samples for weakkness <= 7.
Train with the selected 9674 samples.
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [========>........................................................] 6/40   Step: 424ms | Tot: 2s151ms | Loss: 0.476 | Acc: 86.784% (1333/1536)              
 [=========>.......................................................] 7/40   Step: 586ms | Tot: 2s737ms | Loss: 0.471 | Acc: 87.054% (1560/1792)              
 [===========>.....................................................] 8/40   Step: 425ms | Tot: 3s163ms | Loss: 0.461 | Acc: 87.402% (1790/2048)              
 [=============>...................................................] 9/40   Step: 424ms | Tot: 3s587ms | Loss: 0.461 | Acc: 87.457% (2015/2304)              
 [==============>..................................................] 10/40   Step: 425ms | Tot: 4s13ms | Loss: 0.453 | Acc: 87.539% (2241/2560)              
 [================>................................................] 11/40   Step: 424ms | Tot: 4s437ms | Loss: 0.446 | Acc: 87.642% (2468/2816)              
 [=================>...............................................] 12/40   Step: 448ms | Tot: 4s886ms | Loss: 0.459 | Acc: 87.305% (2682/3072)              
 [===================>.............................................] 13/40   Step: 423ms | Tot: 5s309ms | Loss: 0.455 | Acc: 87.440% (2910/3328)              
 [=====================>...........................................] 14/40   Step: 530ms | Tot: 5s840ms | Loss: 0.445 | Acc: 87.695% (3143/3584)              
 [======================>..........................................] 15/40   Step: 425ms | Tot: 6s265ms | Loss: 0.451 | Acc: 87.630% (3365/3840)              
 [========================>........................................] 16/40   Step: 429ms | Tot: 6s695ms | Loss: 0.460 | Acc: 87.476% (3583/4096)              
 [==========================>......................................] 17/40   Step: 426ms | Tot: 7s121ms | Loss: 0.460 | Acc: 87.431% (3805/4352)              
 [===========================>.....................................] 18/40   Step: 431ms | Tot: 7s553ms | Loss: 0.474 | Acc: 86.957% (4007/4608)              
 [=============================>...................................] 19/40   Step: 424ms | Tot: 7s978ms | Loss: 0.472 | Acc: 87.007% (4232/4864)              
 [==============================>..................................] 20/40   Step: 427ms | Tot: 8s405ms | Loss: 0.469 | Acc: 87.031% (4456/5120)              
 [================================>................................] 21/40   Step: 532ms | Tot: 8s937ms | Loss: 0.475 | Acc: 86.979% (4676/5376)              
 [==================================>..............................] 22/40   Step: 429ms | Tot: 9s367ms | Loss: 0.478 | Acc: 86.914% (4895/5632)              
 [===================================>.............................] 23/40   Step: 425ms | Tot: 9s792ms | Loss: 0.480 | Acc: 86.804% (5111/5888)              
 [=====================================>...........................] 24/40   Step: 426ms | Tot: 10s218ms | Loss: 0.476 | Acc: 86.947% (5342/6144)              
 [=======================================>.........................] 25/40   Step: 426ms | Tot: 10s645ms | Loss: 0.480 | Acc: 86.891% (5561/6400)              
 [========================================>........................] 26/40   Step: 435ms | Tot: 11s81ms | Loss: 0.488 | Acc: 86.734% (5773/6656)              
 [==========================================>......................] 27/40   Step: 429ms | Tot: 11s511ms | Loss: 0.491 | Acc: 86.661% (5990/6912)              
 [===========================================>.....................] 28/40   Step: 534ms | Tot: 12s45ms | Loss: 0.495 | Acc: 86.579% (6206/7168)              
 [=============================================>...................] 29/40   Step: 423ms | Tot: 12s468ms | Loss: 0.496 | Acc: 86.571% (6427/7424)              
 [===============================================>.................] 30/40   Step: 421ms | Tot: 12s890ms | Loss: 0.493 | Acc: 86.667% (6656/7680)              
 [================================================>................] 31/40   Step: 426ms | Tot: 13s317ms | Loss: 0.492 | Acc: 86.681% (6879/7936)              
 [==================================================>..............] 32/40   Step: 418ms | Tot: 13s735ms | Loss: 0.491 | Acc: 86.707% (7103/8192)              
 [====================================================>............] 33/40   Step: 419ms | Tot: 14s155ms | Loss: 0.489 | Acc: 86.707% (7325/8448)              
 [=====================================================>...........] 34/40   Step: 419ms | Tot: 14s574ms | Loss: 0.488 | Acc: 86.742% (7550/8704)              
 [=======================================================>.........] 35/40   Step: 524ms | Tot: 15s99ms | Loss: 0.489 | Acc: 86.752% (7773/8960)              
 [========================================================>........] 36/40   Step: 381ms | Tot: 15s480ms | Loss: 0.493 | Acc: 86.675% (7988/9216)              
 [==========================================================>......] 37/40   Step: 376ms | Tot: 15s857ms | Loss: 0.491 | Acc: 86.677% (8210/9472)              
 [============================================================>....] 38/40   Step: 376ms | Tot: 16s233ms | Loss: 0.491 | Acc: 86.544% (8419/9728)              
 [=============================================================>...] 39/40   Step: 378ms | Tot: 16s612ms | Loss: 0.489 | Acc: 86.558% (8642/9984)              
 [===============================================================>.] 40/40   Step: 377ms | Tot: 16s989ms | Loss: 0.490 | Acc: 86.530% (8653/10000)
Saving with better validation accuracy model: 86.530..

Epoch: 2
 [>................................................................] 1/38   Step: 2s78ms | Tot: 0ms | Loss: 0.022 | Acc: 100.000% (256/256)              
 [=>...............................................................] 2/38   Step: 983ms | Tot: 983ms | Loss: 0.026 | Acc: 99.805% (511/512)              
 [===>.............................................................] 3/38   Step: 986ms | Tot: 1s969ms | Loss: 0.026 | Acc: 99.609% (765/768)              
 [=====>...........................................................] 4/38   Step: 996ms | Tot: 2s965ms | Loss: 0.025 | Acc: 99.609% (1020/1024)              
