cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 1
Train with the wcl selected dataset.
Now try to run the WCL algorithm
Selected 3069 boundary instances.
Select 50.00 percent samples, 649 overlapping with the pre-selected boundary samples
The unique selected subset size is: 22420
Use multiple GPU to train the network.
Use 150 epochs

Epoch: 0
 [>................................................................] 1/88   Step: 1m3s | Tot: 0ms | Loss: 2.349 | Acc: 8.203% (21/256)              
 [>................................................................] 2/88   Step: 1s988ms | Tot: 1s988ms | Loss: 2.346 | Acc: 9.961% (51/512)              
 [=>...............................................................] 3/88   Step: 981ms | Tot: 2s970ms | Loss: 2.325 | Acc: 13.672% (105/768)              
 [==>..............................................................] 4/88   Step: 1s129ms | Tot: 4s99ms | Loss: 2.345 | Acc: 14.453% (148/1024)              
 [==>..............................................................] 5/88   Step: 953ms | Tot: 5s52ms | Loss: 2.305 | Acc: 14.219% (182/1280)              
 [===>.............................................................] 6/88   Step: 954ms | Tot: 6s7ms | Loss: 2.300 | Acc: 15.104% (232/1536)              
 [====>............................................................] 7/88   Step: 956ms | Tot: 6s963ms | Loss: 2.286 | Acc: 16.127% (289/1792)              
 [=====>...........................................................] 8/88   Step: 952ms | Tot: 7s915ms | Loss: 2.269 | Acc: 17.139% (351/2048)              
 [=====>...........................................................] 9/88   Step: 1s53ms | Tot: 8s968ms | Loss: 2.233 | Acc: 17.708% (408/2304)              
 [======>..........................................................] 10/88   Step: 951ms | Tot: 9s920ms | Loss: 2.223 | Acc: 18.438% (472/2560)              
 [=======>.........................................................] 11/88   Step: 947ms | Tot: 10s868ms | Loss: 2.208 | Acc: 18.821% (530/2816)              
 [========>........................................................] 12/88   Step: 948ms | Tot: 11s817ms | Loss: 2.203 | Acc: 19.173% (589/3072)              
 [========>........................................................] 13/88   Step: 981ms | Tot: 12s799ms | Loss: 2.190 | Acc: 19.772% (658/3328)              
 [=========>.......................................................] 14/88   Step: 1s58ms | Tot: 13s858ms | Loss: 2.176 | Acc: 20.312% (728/3584)              
 [================================================>................] 67/88   Step: 956ms | Tot: 1m5s | Loss: 1.919 | Acc: 29.792% (5110/17152)              
 [=================================================>...............] 68/88   Step: 957ms | Tot: 1m6s | Loss: 1.916 | Acc: 29.877% (5201/17408)              
 [==================================================>..............] 69/88   Step: 955ms | Tot: 1m7s | Loss: 1.912 | Acc: 30.055% (5309/17664)              
 [==================================================>..............] 70/88   Step: 1s70ms | Tot: 1m8s | Loss: 1.908 | Acc: 30.223% (5416/17920)              
 [===================================================>.............] 71/88   Step: 957ms | Tot: 1m9s | Loss: 1.905 | Acc: 30.326% (5512/18176)              
 [====================================================>............] 72/88   Step: 952ms | Tot: 1m10s | Loss: 1.900 | Acc: 30.512% (5624/18432)              
 [=====================================================>...........] 73/88   Step: 951ms | Tot: 1m11s | Loss: 1.897 | Acc: 30.629% (5724/18688)              
 [=====================================================>...........] 74/88   Step: 992ms | Tot: 1m12s | Loss: 1.894 | Acc: 30.759% (5827/18944)              
 [======================================================>..........] 75/88   Step: 1s69ms | Tot: 1m13s | Loss: 1.889 | Acc: 30.906% (5934/19200)              
 [=======================================================>.........] 76/88   Step: 949ms | Tot: 1m14s | Loss: 1.886 | Acc: 31.050% (6041/19456)              
 [========================================================>........] 77/88   Step: 950ms | Tot: 1m15s | Loss: 1.882 | Acc: 31.159% (6142/19712)              
 [========================================================>........] 78/88   Step: 956ms | Tot: 1m16s | Loss: 1.879 | Acc: 31.340% (6258/19968)              
 [=========================================================>.......] 79/88   Step: 957ms | Tot: 1m17s | Loss: 1.875 | Acc: 31.527% (6376/20224)              
 [==========================================================>......] 80/88   Step: 1s84ms | Tot: 1m18s | Loss: 1.872 | Acc: 31.665% (6485/20480)              
 [===========================================================>.....] 81/88   Step: 951ms | Tot: 1m19s | Loss: 1.867 | Acc: 31.805% (6595/20736)              
 [===========================================================>.....] 82/88   Step: 951ms | Tot: 1m20s | Loss: 1.865 | Acc: 31.879% (6692/20992)              
 [============================================================>....] 83/88   Step: 950ms | Tot: 1m21s | Loss: 1.861 | Acc: 31.942% (6787/21248)              
 [=============================================================>...] 84/88   Step: 1s43ms | Tot: 1m22s | Loss: 1.858 | Acc: 32.064% (6895/21504)              
 [==============================================================>..] 85/88   Step: 836ms | Tot: 1m23s | Loss: 1.853 | Acc: 32.224% (7012/21760)              
 [==============================================================>..] 86/88   Step: 837ms | Tot: 1m24s | Loss: 1.850 | Acc: 32.317% (7115/22016)              
 [===============================================================>.] 87/88   Step: 835ms | Tot: 1m25s | Loss: 1.847 | Acc: 32.435% (7224/22272)              
 [================================================================>] 88/88   Step: 8s776ms | Tot: 1m33s | Loss: 1.846 | Acc: 32.489% (7284/22420)
 [>................................................................] 1/40   Step: 1s251ms | Tot: 0ms | Loss: 1.667 | Acc: 37.109% (95/256)              
 [=>...............................................................] 2/40   Step: 419ms | Tot: 419ms | Loss: 1.763 | Acc: 37.695% (193/512)              
 [===>.............................................................] 3/40   Step: 415ms | Tot: 834ms | Loss: 1.759 | Acc: 38.672% (297/768)              
 [====>............................................................] 4/40   Step: 413ms | Tot: 1s248ms | Loss: 1.755 | Acc: 38.184% (391/1024)              
 [======>..........................................................] 5/40   Step: 413ms | Tot: 1s661ms | Loss: 1.762 | Acc: 37.969% (486/1280)              
 [========>........................................................] 6/40   Step: 414ms | Tot: 2s76ms | Loss: 1.772 | Acc: 37.760% (580/1536)              
 [=========>.......................................................] 7/40   Step: 517ms | Tot: 2s594ms | Loss: 1.766 | Acc: 37.891% (679/1792)              
 [===========>.....................................................] 8/40   Step: 413ms | Tot: 3s7ms | Loss: 1.789 | Acc: 37.646% (771/2048)              
 [=============>...................................................] 9/40   Step: 415ms | Tot: 3s422ms | Loss: 1.791 | Acc: 37.847% (872/2304)              
 [==============>..................................................] 10/40   Step: 413ms | Tot: 3s836ms | Loss: 1.797 | Acc: 37.812% (968/2560)              
 [================>................................................] 11/40   Step: 412ms | Tot: 4s248ms | Loss: 1.786 | Acc: 38.388% (1081/2816)              
 [=================>...............................................] 12/40   Step: 417ms | Tot: 4s665ms | Loss: 1.789 | Acc: 38.314% (1177/3072)              
 [===================>.............................................] 13/40   Step: 518ms | Tot: 5s184ms | Loss: 1.795 | Acc: 38.371% (1277/3328)              
 [=====================>...........................................] 14/40   Step: 413ms | Tot: 5s597ms | Loss: 1.802 | Acc: 38.504% (1380/3584)              
