cifar100 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
Train with the wcl selected dataset (by weighted the boundary points).
load parameters
Now try to run the WCL algorithm, by scaling up boundary sample scores
Scale up the boundary sample scores to 1
Start to select 12000 samples for a fair comparison at each subset.
Selected 12000 samples from all the classes
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [==================================>..............................] 22/40   Step: 519ms | Tot: 9s219ms | Loss: 1.875 | Acc: 59.570% (3355/5632)              
 [===================================>.............................] 23/40   Step: 414ms | Tot: 9s634ms | Loss: 1.877 | Acc: 59.681% (3514/5888)              
 [=====================================>...........................] 24/40   Step: 416ms | Tot: 10s50ms | Loss: 1.882 | Acc: 59.701% (3668/6144)              
 [=======================================>.........................] 25/40   Step: 415ms | Tot: 10s465ms | Loss: 1.880 | Acc: 59.688% (3820/6400)              
 [========================================>........................] 26/40   Step: 414ms | Tot: 10s880ms | Loss: 1.871 | Acc: 59.736% (3976/6656)              
 [==========================================>......................] 27/40   Step: 415ms | Tot: 11s295ms | Loss: 1.874 | Acc: 59.635% (4122/6912)              
 [===========================================>.....................] 28/40   Step: 520ms | Tot: 11s815ms | Loss: 1.864 | Acc: 59.807% (4287/7168)              
 [=============================================>...................] 29/40   Step: 415ms | Tot: 12s230ms | Loss: 1.866 | Acc: 59.820% (4441/7424)              
 [===============================================>.................] 30/40   Step: 413ms | Tot: 12s643ms | Loss: 1.860 | Acc: 59.935% (4603/7680)              
 [================================================>................] 31/40   Step: 414ms | Tot: 13s57ms | Loss: 1.861 | Acc: 59.929% (4756/7936)              
 [==================================================>..............] 32/40   Step: 419ms | Tot: 13s476ms | Loss: 1.869 | Acc: 59.827% (4901/8192)              
 [====================================================>............] 33/40   Step: 413ms | Tot: 13s890ms | Loss: 1.881 | Acc: 59.588% (5034/8448)              
 [=====================================================>...........] 34/40   Step: 521ms | Tot: 14s411ms | Loss: 1.891 | Acc: 59.409% (5171/8704)              
 [=======================================================>.........] 35/40   Step: 414ms | Tot: 14s825ms | Loss: 1.889 | Acc: 59.408% (5323/8960)              
 [========================================================>........] 36/40   Step: 373ms | Tot: 15s199ms | Loss: 1.885 | Acc: 59.484% (5482/9216)              
 [==========================================================>......] 37/40   Step: 368ms | Tot: 15s568ms | Loss: 1.889 | Acc: 59.491% (5635/9472)              
 [============================================================>....] 38/40   Step: 369ms | Tot: 15s937ms | Loss: 1.884 | Acc: 59.539% (5792/9728)              
 [=============================================================>...] 39/40   Step: 368ms | Tot: 16s305ms | Loss: 1.883 | Acc: 59.495% (5940/9984)              
 [===============================================================>.] 40/40   Step: 2s438ms | Tot: 18s743ms | Loss: 1.882 | Acc: 59.530% (5953/10000)
Saving with better validation accuracy model: 59.530..

Epoch: 1
 [>................................................................] 1/47   Step: 3s16ms | Tot: 0ms | Loss: 0.997 | Acc: 75.391% (193/256)              
 [=>...............................................................] 2/47   Step: 984ms | Tot: 984ms | Loss: 0.934 | Acc: 76.562% (392/512)              
 [==>..............................................................] 3/47   Step: 980ms | Tot: 1s964ms | Loss: 0.939 | Acc: 76.953% (591/768)              
 [====>............................................................] 4/47   Step: 976ms | Tot: 2s941ms | Loss: 0.935 | Acc: 76.465% (783/1024)              
 [=====>...........................................................] 5/47   Step: 1s168ms | Tot: 4s109ms | Loss: 0.920 | Acc: 76.875% (984/1280)              
 [======>..........................................................] 6/47   Step: 995ms | Tot: 5s105ms | Loss: 0.913 | Acc: 77.083% (1184/1536)              
 [========>........................................................] 7/47   Step: 979ms | Tot: 6s84ms | Loss: 0.911 | Acc: 77.232% (1384/1792)              
 [=========>.......................................................] 8/47   Step: 974ms | Tot: 7s58ms | Loss: 0.922 | Acc: 77.051% (1578/2048)              
 [===========>.....................................................] 9/47   Step: 1s84ms | Tot: 8s143ms | Loss: 0.915 | Acc: 76.953% (1773/2304)              
 [============>....................................................] 10/47   Step: 974ms | Tot: 9s117ms | Loss: 0.917 | Acc: 76.758% (1965/2560)              
 [=============>...................................................] 11/47   Step: 973ms | Tot: 10s90ms | Loss: 0.912 | Acc: 77.024% (2169/2816)              
 [===============>.................................................] 12/47   Step: 976ms | Tot: 11s67ms | Loss: 0.914 | Acc: 76.790% (2359/3072)              
 [================>................................................] 13/47   Step: 977ms | Tot: 12s44ms | Loss: 0.928 | Acc: 76.562% (2548/3328)              
 [=================>...............................................] 14/47   Step: 1s95ms | Tot: 13s140ms | Loss: 0.918 | Acc: 76.758% (2751/3584)              
 [===================>.............................................] 15/47   Step: 979ms | Tot: 14s120ms | Loss: 0.922 | Acc: 76.615% (2942/3840)              
 [====================>............................................] 16/47   Step: 995ms | Tot: 15s115ms | Loss: 0.913 | Acc: 76.562% (3136/4096)              
 [======================>..........................................] 17/47   Step: 974ms | Tot: 16s90ms | Loss: 0.911 | Acc: 76.585% (3333/4352)              
 [=======================>.........................................] 18/47   Step: 1s78ms | Tot: 17s168ms | Loss: 0.909 | Acc: 76.562% (3528/4608)              
 [========================>........................................] 19/47   Step: 974ms | Tot: 18s143ms | Loss: 0.916 | Acc: 76.357% (3714/4864)              
 [==========================>......................................] 20/47   Step: 975ms | Tot: 19s118ms | Loss: 0.921 | Acc: 76.250% (3904/5120)              
 [===========================>.....................................] 21/47   Step: 974ms | Tot: 20s93ms | Loss: 0.921 | Acc: 76.228% (4098/5376)              
 [=============================>...................................] 22/47   Step: 971ms | Tot: 21s64ms | Loss: 0.919 | Acc: 76.083% (4285/5632)              
 [==============================>..................................] 23/47   Step: 1s85ms | Tot: 22s149ms | Loss: 0.922 | Acc: 76.002% (4475/5888)              
 [===============================>.................................] 24/47   Step: 972ms | Tot: 23s122ms | Loss: 0.914 | Acc: 76.188% (4681/6144)              
 [=================================>...............................] 25/47   Step: 973ms | Tot: 24s96ms | Loss: 0.917 | Acc: 76.109% (4871/6400)              
 [==================================>..............................] 26/47   Step: 991ms | Tot: 25s87ms | Loss: 0.913 | Acc: 76.142% (5068/6656)              
 [===================================>.............................] 27/47   Step: 981ms | Tot: 26s69ms | Loss: 0.911 | Acc: 76.143% (5263/6912)              
 [=====================================>...........................] 28/47   Step: 1s85ms | Tot: 27s155ms | Loss: 0.915 | Acc: 76.130% (5457/7168)              
 [======================================>..........................] 29/47   Step: 978ms | Tot: 28s133ms | Loss: 0.914 | Acc: 76.078% (5648/7424)              
 [========================================>........................] 30/47   Step: 974ms | Tot: 29s108ms | Loss: 0.906 | Acc: 76.250% (5856/7680)              
 [=========================================>.......................] 31/47   Step: 981ms | Tot: 30s89ms | Loss: 0.912 | Acc: 76.147% (6043/7936)              
 [==========================================>......................] 32/47   Step: 1s87ms | Tot: 31s177ms | Loss: 0.908 | Acc: 76.233% (6245/8192)              
 [============================================>....................] 33/47   Step: 982ms | Tot: 32s159ms | Loss: 0.912 | Acc: 76.125% (6431/8448)              
 [=============================================>...................] 34/47   Step: 979ms | Tot: 33s138ms | Loss: 0.912 | Acc: 76.229% (6635/8704)              
 [===============================================>.................] 35/47   Step: 974ms | Tot: 34s113ms | Loss: 0.910 | Acc: 76.261% (6833/8960)              
 [================================================>................] 36/47   Step: 991ms | Tot: 35s105ms | Loss: 0.908 | Acc: 76.280% (7030/9216)              
 [=================================================>...............] 37/47   Step: 1s78ms | Tot: 36s183ms | Loss: 0.909 | Acc: 76.235% (7221/9472)              
 [===================================================>.............] 38/47   Step: 974ms | Tot: 37s157ms | Loss: 0.912 | Acc: 76.172% (7410/9728)              
 [====================================================>............] 39/47   Step: 978ms | Tot: 38s135ms | Loss: 0.905 | Acc: 76.322% (7620/9984)              
 [=====================================================>...........] 40/47   Step: 978ms | Tot: 39s114ms | Loss: 0.900 | Acc: 76.416% (7825/10240)              
 [=======================================================>.........] 41/47   Step: 1s81ms | Tot: 40s195ms | Loss: 0.897 | Acc: 76.458% (8025/10496)              
 [========================================================>........] 42/47   Step: 970ms | Tot: 41s165ms | Loss: 0.897 | Acc: 76.423% (8217/10752)              
 [==========================================================>......] 43/47   Step: 964ms | Tot: 42s129ms | Loss: 0.901 | Acc: 76.390% (8409/11008)              
 [===========================================================>.....] 44/47   Step: 860ms | Tot: 42s990ms | Loss: 0.904 | Acc: 76.349% (8600/11264)              
