cifar100 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
Train with the wcl selected dataset.
load parameters
Now try to run the WCL algorithm
Selected 12258 boundary instances.
Select 50.00 percent samples, 2785 overlapping with the pre-selected boundary samples
The unique selected subset size is: 29470
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [>................................................................] 1/116   Step: 1m191ms | Tot: 0ms | Loss: 0.466 | Acc: 88.672% (227/256)              
 [>................................................................] 2/116   Step: 1s976ms | Tot: 1s977ms | Loss: 0.474 | Acc: 88.086% (451/512)              
 [=>...............................................................] 3/116   Step: 978ms | Tot: 2s955ms | Loss: 0.475 | Acc: 88.021% (676/768)              
 [=>...............................................................] 4/116   Step: 1s123ms | Tot: 4s79ms | Loss: 0.462 | Acc: 87.695% (898/1024)              
 [==>..............................................................] 5/116   Step: 949ms | Tot: 5s28ms | Loss: 0.467 | Acc: 87.188% (1116/1280)              
 [==>..............................................................] 6/116   Step: 950ms | Tot: 5s979ms | Loss: 0.474 | Acc: 87.109% (1338/1536)              
 [===>.............................................................] 7/116   Step: 950ms | Tot: 6s929ms | Loss: 0.467 | Acc: 87.556% (1569/1792)              
 [===>.............................................................] 8/116   Step: 950ms | Tot: 7s880ms | Loss: 0.461 | Acc: 87.549% (1793/2048)              
 [====>............................................................] 9/116   Step: 1s49ms | Tot: 8s929ms | Loss: 0.464 | Acc: 87.717% (2021/2304)              
 [=====>...........................................................] 10/116   Step: 952ms | Tot: 9s882ms | Loss: 0.456 | Acc: 87.891% (2250/2560)              
 [=====>...........................................................] 11/116   Step: 947ms | Tot: 10s830ms | Loss: 0.456 | Acc: 87.891% (2475/2816)              
 [======>..........................................................] 12/116   Step: 949ms | Tot: 11s779ms | Loss: 0.446 | Acc: 88.118% (2707/3072)              
 [======>..........................................................] 13/116   Step: 1s79ms | Tot: 12s859ms | Loss: 0.448 | Acc: 88.221% (2936/3328)              
 [=======>.........................................................] 14/116   Step: 959ms | Tot: 13s819ms | Loss: 0.447 | Acc: 88.281% (3164/3584)              
 [=======>.........................................................] 15/116   Step: 953ms | Tot: 14s772ms | Loss: 0.440 | Acc: 88.385% (3394/3840)              
 [====================================>............................] 67/116   Step: 948ms | Tot: 1m5s | Loss: 0.330 | Acc: 91.056% (15618/17152)              
 [=====================================>...........................] 68/116   Step: 941ms | Tot: 1m6s | Loss: 0.329 | Acc: 91.085% (15856/17408)              
 [======================================>..........................] 69/116   Step: 946ms | Tot: 1m7s | Loss: 0.329 | Acc: 91.106% (16093/17664)              
 [======================================>..........................] 70/116   Step: 1s81ms | Tot: 1m8s | Loss: 0.328 | Acc: 91.144% (16333/17920)              
 [=======================================>.........................] 71/116   Step: 960ms | Tot: 1m9s | Loss: 0.328 | Acc: 91.153% (16568/18176)              
 [=======================================>.........................] 72/116   Step: 956ms | Tot: 1m10s | Loss: 0.326 | Acc: 91.206% (16811/18432)              
 [========================================>........................] 73/116   Step: 947ms | Tot: 1m11s | Loss: 0.326 | Acc: 91.230% (17049/18688)              
 [========================================>........................] 74/116   Step: 946ms | Tot: 1m12s | Loss: 0.325 | Acc: 91.269% (17290/18944)              
 [=========================================>.......................] 75/116   Step: 1s71ms | Tot: 1m13s | Loss: 0.323 | Acc: 91.318% (17533/19200)              
 [==========================================>......................] 76/116   Step: 945ms | Tot: 1m14s | Loss: 0.322 | Acc: 91.324% (17768/19456)              
 [==========================================>......................] 77/116   Step: 943ms | Tot: 1m15s | Loss: 0.321 | Acc: 91.350% (18007/19712)              
 [===========================================>.....................] 78/116   Step: 945ms | Tot: 1m16s | Loss: 0.320 | Acc: 91.381% (18247/19968)              
 [===========================================>.....................] 79/116   Step: 1s53ms | Tot: 1m17s | Loss: 0.319 | Acc: 91.421% (18489/20224)              
 [============================================>....................] 80/116   Step: 948ms | Tot: 1m18s | Loss: 0.318 | Acc: 91.475% (18734/20480)              
 [============================================>....................] 81/116   Step: 948ms | Tot: 1m19s | Loss: 0.317 | Acc: 91.498% (18973/20736)              
 [=============================================>...................] 82/116   Step: 946ms | Tot: 1m20s | Loss: 0.316 | Acc: 91.516% (19211/20992)              
 [=============================================>...................] 83/116   Step: 948ms | Tot: 1m21s | Loss: 0.316 | Acc: 91.533% (19449/21248)              
 [==============================================>..................] 84/116   Step: 1s56ms | Tot: 1m22s | Loss: 0.314 | Acc: 91.569% (19691/21504)              
 [===============================================>.................] 85/116   Step: 962ms | Tot: 1m23s | Loss: 0.313 | Acc: 91.567% (19925/21760)              
 [===============================================>.................] 86/116   Step: 948ms | Tot: 1m24s | Loss: 0.312 | Acc: 91.629% (20173/22016)              
 [================================================>................] 87/116   Step: 944ms | Tot: 1m24s | Loss: 0.311 | Acc: 91.658% (20414/22272)              
 [================================================>................] 88/116   Step: 1s48ms | Tot: 1m26s | Loss: 0.309 | Acc: 91.681% (20654/22528)              
 [=================================================>...............] 89/116   Step: 943ms | Tot: 1m26s | Loss: 0.309 | Acc: 91.687% (20890/22784)              
 [=================================================>...............] 90/116   Step: 950ms | Tot: 1m27s | Loss: 0.309 | Acc: 91.706% (21129/23040)              
 [==================================================>..............] 91/116   Step: 946ms | Tot: 1m28s | Loss: 0.307 | Acc: 91.737% (21371/23296)              
 [==================================================>..............] 92/116   Step: 948ms | Tot: 1m29s | Loss: 0.307 | Acc: 91.759% (21611/23552)              
 [===================================================>.............] 93/116   Step: 1s49ms | Tot: 1m30s | Loss: 0.306 | Acc: 91.755% (21845/23808)              
 [====================================================>............] 94/116   Step: 949ms | Tot: 1m31s | Loss: 0.305 | Acc: 91.784% (22087/24064)              
 [====================================================>............] 95/116   Step: 969ms | Tot: 1m32s | Loss: 0.305 | Acc: 91.780% (22321/24320)              
 [=====================================================>...........] 96/116   Step: 953ms | Tot: 1m33s | Loss: 0.304 | Acc: 91.801% (22561/24576)              
 [=====================================================>...........] 97/116   Step: 1s53ms | Tot: 1m34s | Loss: 0.304 | Acc: 91.817% (22800/24832)              
 [======================================================>..........] 98/116   Step: 946ms | Tot: 1m35s | Loss: 0.303 | Acc: 91.853% (23044/25088)              
 [======================================================>..........] 99/116   Step: 959ms | Tot: 1m36s | Loss: 0.301 | Acc: 91.907% (23293/25344)              
 [=======================================================>.........] 100/116   Step: 946ms | Tot: 1m37s | Loss: 0.300 | Acc: 91.938% (23536/25600)              
 [========================================================>........] 101/116   Step: 948ms | Tot: 1m38s | Loss: 0.300 | Acc: 91.952% (23775/25856)              
 [========================================================>........] 102/116   Step: 1s53ms | Tot: 1m39s | Loss: 0.298 | Acc: 91.981% (24018/26112)              
