cifar100 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
Train with the pop selected dataset.
load parameters
Now try to run the algorithm POP
------------------ Start to select subsets ------------------
Selected 34814 samples for weakkness <= 0.
Train with the selected 34814 samples.
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [>................................................................] 1/136   Step: 2m30s | Tot: 0ms | Loss: 0.353 | Acc: 90.234% (231/256)              
 [>................................................................] 2/136   Step: 1s991ms | Tot: 1s991ms | Loss: 0.332 | Acc: 90.625% (464/512)              
 [>................................................................] 3/136   Step: 974ms | Tot: 2s966ms | Loss: 0.355 | Acc: 89.323% (686/768)              
 [=>...............................................................] 4/136   Step: 1s95ms | Tot: 4s61ms | Loss: 0.347 | Acc: 88.965% (911/1024)              
 [=>...............................................................] 5/136   Step: 950ms | Tot: 5s11ms | Loss: 0.353 | Acc: 89.141% (1141/1280)              
 [==>..............................................................] 6/136   Step: 961ms | Tot: 5s973ms | Loss: 0.347 | Acc: 89.388% (1373/1536)              
 [==>..............................................................] 7/136   Step: 955ms | Tot: 6s928ms | Loss: 0.347 | Acc: 89.509% (1604/1792)              
 [===>.............................................................] 8/136   Step: 958ms | Tot: 7s886ms | Loss: 0.343 | Acc: 89.648% (1836/2048)              
 [===>.............................................................] 9/136   Step: 1s56ms | Tot: 8s943ms | Loss: 0.346 | Acc: 89.670% (2066/2304)              
 [====>............................................................] 10/136   Step: 951ms | Tot: 9s895ms | Loss: 0.343 | Acc: 89.688% (2296/2560)              
 [====>............................................................] 11/136   Step: 959ms | Tot: 10s854ms | Loss: 0.334 | Acc: 90.057% (2536/2816)              
 [=====>...........................................................] 12/136   Step: 955ms | Tot: 11s810ms | Loss: 0.330 | Acc: 90.234% (2772/3072)              
 [=====>...........................................................] 13/136   Step: 973ms | Tot: 12s784ms | Loss: 0.332 | Acc: 90.144% (3000/3328)              
 [======>..........................................................] 14/136   Step: 1s62ms | Tot: 13s847ms | Loss: 0.326 | Acc: 90.318% (3237/3584)              
 [======>..........................................................] 15/136   Step: 961ms | Tot: 14s808ms | Loss: 0.319 | Acc: 90.521% (3476/3840)              
 [======================================================>..........] 116/136   Step: 955ms | Tot: 1m53s | Loss: 0.187 | Acc: 94.993% (28209/29696)              
 [=======================================================>.........] 117/136   Step: 949ms | Tot: 1m54s | Loss: 0.186 | Acc: 95.012% (28458/29952)              
 [=======================================================>.........] 118/136   Step: 946ms | Tot: 1m55s | Loss: 0.186 | Acc: 95.038% (28709/30208)              
 [========================================================>........] 119/136   Step: 1s82ms | Tot: 1m56s | Loss: 0.185 | Acc: 95.053% (28957/30464)              
 [========================================================>........] 120/136   Step: 953ms | Tot: 1m57s | Loss: 0.185 | Acc: 95.062% (29203/30720)              
 [=========================================================>.......] 121/136   Step: 954ms | Tot: 1m58s | Loss: 0.184 | Acc: 95.083% (29453/30976)              
 [=========================================================>.......] 122/136   Step: 949ms | Tot: 1m59s | Loss: 0.184 | Acc: 95.095% (29700/31232)              
 [==========================================================>......] 123/136   Step: 951ms | Tot: 2m382ms | Loss: 0.184 | Acc: 95.100% (29945/31488)              
 [==========================================================>......] 124/136   Step: 1s56ms | Tot: 2m1s | Loss: 0.183 | Acc: 95.120% (30195/31744)              
 [===========================================================>.....] 125/136   Step: 950ms | Tot: 2m2s | Loss: 0.183 | Acc: 95.138% (30444/32000)              
 [===========================================================>.....] 126/136   Step: 960ms | Tot: 2m3s | Loss: 0.182 | Acc: 95.157% (30694/32256)              
 [============================================================>....] 127/136   Step: 947ms | Tot: 2m4s | Loss: 0.181 | Acc: 95.189% (30948/32512)              
 [============================================================>....] 128/136   Step: 948ms | Tot: 2m5s | Loss: 0.181 | Acc: 95.209% (31198/32768)              
 [=============================================================>...] 129/136   Step: 1s55ms | Tot: 2m6s | Loss: 0.181 | Acc: 95.222% (31446/33024)              
 [=============================================================>...] 130/136   Step: 954ms | Tot: 2m7s | Loss: 0.180 | Acc: 95.231% (31693/33280)              
 [==============================================================>..] 131/136   Step: 953ms | Tot: 2m8s | Loss: 0.180 | Acc: 95.238% (31939/33536)              
 [==============================================================>..] 132/136   Step: 948ms | Tot: 2m9s | Loss: 0.180 | Acc: 95.256% (32189/33792)              
 [===============================================================>.] 133/136   Step: 940ms | Tot: 2m10s | Loss: 0.179 | Acc: 95.277% (32440/34048)              
 [===============================================================>.] 134/136   Step: 840ms | Tot: 2m10s | Loss: 0.178 | Acc: 95.301% (32692/34304)              
 [================================================================>] 135/136   Step: 836ms | Tot: 2m11s | Loss: 0.178 | Acc: 95.312% (32940/34560)              
 [================================================================>] 136/136   Step: 4s257ms | Tot: 2m16s | Loss: 0.178 | Acc: 95.304% (33179/34814)
 [>................................................................] 1/40   Step: 1s154ms | Tot: 0ms | Loss: 0.826 | Acc: 77.344% (198/256)              
 [=>...............................................................] 2/40   Step: 572ms | Tot: 572ms | Loss: 0.844 | Acc: 77.148% (395/512)              
 [===>.............................................................] 3/40   Step: 416ms | Tot: 988ms | Loss: 0.897 | Acc: 76.302% (586/768)              
 [====>............................................................] 4/40   Step: 417ms | Tot: 1s406ms | Loss: 0.904 | Acc: 76.172% (780/1024)              
 [======>..........................................................] 5/40   Step: 414ms | Tot: 1s821ms | Loss: 0.924 | Acc: 75.625% (968/1280)              
 [========>........................................................] 6/40   Step: 417ms | Tot: 2s239ms | Loss: 0.911 | Acc: 75.911% (1166/1536)              
 [=========>.......................................................] 7/40   Step: 415ms | Tot: 2s654ms | Loss: 0.942 | Acc: 75.112% (1346/1792)              
 [===========>.....................................................] 8/40   Step: 517ms | Tot: 3s172ms | Loss: 0.955 | Acc: 75.146% (1539/2048)              
 [=============>...................................................] 9/40   Step: 413ms | Tot: 3s585ms | Loss: 0.959 | Acc: 75.087% (1730/2304)              
 [==============>..................................................] 10/40   Step: 414ms | Tot: 4s | Loss: 0.964 | Acc: 75.195% (1925/2560)              
 [================>................................................] 11/40   Step: 413ms | Tot: 4s413ms | Loss: 0.957 | Acc: 75.533% (2127/2816)              
 [=================>...............................................] 12/40   Step: 412ms | Tot: 4s826ms | Loss: 0.950 | Acc: 75.618% (2323/3072)              
 [===================>.............................................] 13/40   Step: 522ms | Tot: 5s349ms | Loss: 0.947 | Acc: 75.511% (2513/3328)              
 [=====================>...........................................] 14/40   Step: 419ms | Tot: 5s768ms | Loss: 0.963 | Acc: 75.167% (2694/3584)              
 [======================>..........................................] 15/40   Step: 415ms | Tot: 6s184ms | Loss: 0.954 | Acc: 75.391% (2895/3840)              
 [========================>........................................] 16/40   Step: 415ms | Tot: 6s599ms | Loss: 0.951 | Acc: 75.684% (3100/4096)              
 [==========================>......................................] 17/40   Step: 415ms | Tot: 7s15ms | Loss: 0.952 | Acc: 75.643% (3292/4352)              
 [===========================>.....................................] 18/40   Step: 413ms | Tot: 7s428ms | Loss: 0.955 | Acc: 75.716% (3489/4608)              
 [=============================>...................................] 19/40   Step: 512ms | Tot: 7s941ms | Loss: 0.956 | Acc: 75.658% (3680/4864)              
 [==============================>..................................] 20/40   Step: 412ms | Tot: 8s353ms | Loss: 0.950 | Acc: 75.781% (3880/5120)              
 [================================>................................] 21/40   Step: 415ms | Tot: 8s768ms | Loss: 0.959 | Acc: 75.651% (4067/5376)              
 [==================================>..............................] 22/40   Step: 416ms | Tot: 9s185ms | Loss: 0.959 | Acc: 75.533% (4254/5632)              
 [===================================>.............................] 23/40   Step: 412ms | Tot: 9s597ms | Loss: 0.962 | Acc: 75.357% (4437/5888)              
 [=====================================>...........................] 24/40   Step: 520ms | Tot: 10s117ms | Loss: 0.973 | Acc: 75.277% (4625/6144)              
 [=======================================>.........................] 25/40   Step: 419ms | Tot: 10s537ms | Loss: 0.969 | Acc: 75.359% (4823/6400)              
 [========================================>........................] 26/40   Step: 409ms | Tot: 10s946ms | Loss: 0.966 | Acc: 75.331% (5014/6656)              
 [==========================================>......................] 27/40   Step: 416ms | Tot: 11s362ms | Loss: 0.963 | Acc: 75.347% (5208/6912)              
 [===========================================>.....................] 28/40   Step: 412ms | Tot: 11s774ms | Loss: 0.959 | Acc: 75.474% (5410/7168)              
 [=============================================>...................] 29/40   Step: 411ms | Tot: 12s186ms | Loss: 0.953 | Acc: 75.579% (5611/7424)              
 [===============================================>.................] 30/40   Step: 512ms | Tot: 12s698ms | Loss: 0.954 | Acc: 75.586% (5805/7680)              
 [================================================>................] 31/40   Step: 416ms | Tot: 13s114ms | Loss: 0.958 | Acc: 75.517% (5993/7936)              
 [==================================================>..............] 32/40   Step: 410ms | Tot: 13s525ms | Loss: 0.959 | Acc: 75.452% (6181/8192)              
 [====================================================>............] 33/40   Step: 408ms | Tot: 13s933ms | Loss: 0.959 | Acc: 75.391% (6369/8448)              
 [=====================================================>...........] 34/40   Step: 412ms | Tot: 14s346ms | Loss: 0.965 | Acc: 75.276% (6552/8704)              
 [=======================================================>.........] 35/40   Step: 511ms | Tot: 14s858ms | Loss: 0.963 | Acc: 75.301% (6747/8960)              
 [========================================================>........] 36/40   Step: 370ms | Tot: 15s228ms | Loss: 0.962 | Acc: 75.391% (6948/9216)              
 [==========================================================>......] 37/40   Step: 374ms | Tot: 15s603ms | Loss: 0.966 | Acc: 75.306% (7133/9472)              
 [============================================================>....] 38/40   Step: 364ms | Tot: 15s968ms | Loss: 0.962 | Acc: 75.421% (7337/9728)              
 [=============================================================>...] 39/40   Step: 365ms | Tot: 16s333ms | Loss: 0.964 | Acc: 75.331% (7521/9984)              
 [===============================================================>.] 40/40   Step: 2s376ms | Tot: 18s709ms | Loss: 0.963 | Acc: 75.330% (7533/10000)
Saving with better validation accuracy model: 75.330..

Epoch: 1
 [>................................................................] 1/136   Step: 3s160ms | Tot: 0ms | Loss: 0.065 | Acc: 98.438% (252/256)              
 [>................................................................] 2/136   Step: 969ms | Tot: 969ms | Loss: 0.071 | Acc: 98.242% (503/512)              
 [>................................................................] 3/136   Step: 1s121ms | Tot: 2s90ms | Loss: 0.080 | Acc: 98.568% (757/768)              
 [=>...............................................................] 4/136   Step: 1s94ms | Tot: 3s185ms | Loss: 0.088 | Acc: 98.242% (1006/1024)              
 [=>...............................................................] 5/136   Step: 1s79ms | Tot: 4s265ms | Loss: 0.089 | Acc: 97.969% (1254/1280)              
 [==>..............................................................] 6/136   Step: 951ms | Tot: 5s217ms | Loss: 0.094 | Acc: 97.852% (1503/1536)              
 [==>..............................................................] 7/136   Step: 952ms | Tot: 6s170ms | Loss: 0.095 | Acc: 97.768% (1752/1792)              
 [===>.............................................................] 8/136   Step: 953ms | Tot: 7s123ms | Loss: 0.095 | Acc: 97.803% (2003/2048)              
 [===>.............................................................] 9/136   Step: 968ms | Tot: 8s92ms | Loss: 0.094 | Acc: 97.917% (2256/2304)              
 [====>............................................................] 10/136   Step: 1s63ms | Tot: 9s155ms | Loss: 0.093 | Acc: 97.930% (2507/2560)              
 [====>............................................................] 11/136   Step: 958ms | Tot: 10s114ms | Loss: 0.093 | Acc: 98.047% (2761/2816)              
 [=====>...........................................................] 12/136   Step: 961ms | Tot: 11s76ms | Loss: 0.091 | Acc: 98.145% (3015/3072)              
