cifar100 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 3
Train with the whole dataset.
load parameters
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [=>...............................................................] 2/40   Step: 420ms | Tot: 420ms | Loss: 0.792 | Acc: 81.055% (415/512)              
 [===>.............................................................] 3/40   Step: 416ms | Tot: 836ms | Loss: 0.876 | Acc: 79.688% (612/768)              
 [====>............................................................] 4/40   Step: 573ms | Tot: 1s410ms | Loss: 0.895 | Acc: 79.102% (810/1024)              
 [======>..........................................................] 5/40   Step: 414ms | Tot: 1s825ms | Loss: 0.921 | Acc: 78.672% (1007/1280)              
 [========>........................................................] 6/40   Step: 416ms | Tot: 2s241ms | Loss: 0.929 | Acc: 78.711% (1209/1536)              
 [=========>.......................................................] 7/40   Step: 414ms | Tot: 2s656ms | Loss: 0.939 | Acc: 78.683% (1410/1792)              
 [===========>.....................................................] 8/40   Step: 414ms | Tot: 3s71ms | Loss: 0.960 | Acc: 78.174% (1601/2048)              
 [=============>...................................................] 9/40   Step: 415ms | Tot: 3s486ms | Loss: 0.956 | Acc: 78.212% (1802/2304)              
 [==============>..................................................] 10/40   Step: 519ms | Tot: 4s6ms | Loss: 0.959 | Acc: 78.086% (1999/2560)              
 [================>................................................] 11/40   Step: 418ms | Tot: 4s425ms | Loss: 0.951 | Acc: 78.374% (2207/2816)              
 [=================>...............................................] 12/40   Step: 415ms | Tot: 4s840ms | Loss: 0.947 | Acc: 78.516% (2412/3072)              
 [===================>.............................................] 13/40   Step: 414ms | Tot: 5s255ms | Loss: 0.947 | Acc: 78.576% (2615/3328)              
 [=====================>...........................................] 14/40   Step: 414ms | Tot: 5s670ms | Loss: 0.958 | Acc: 78.069% (2798/3584)              
 [======================>..........................................] 15/40   Step: 414ms | Tot: 6s84ms | Loss: 0.954 | Acc: 78.229% (3004/3840)              
 [========================>........................................] 16/40   Step: 415ms | Tot: 6s500ms | Loss: 0.957 | Acc: 78.076% (3198/4096)              
 [==========================>......................................] 17/40   Step: 519ms | Tot: 7s20ms | Loss: 0.966 | Acc: 77.872% (3389/4352)              
