cifar100 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
Train with the whole dataset.
load parameters
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [>................................................................] 1/157   Step: 41s288ms | Tot: 0ms | Loss: 0.416 | Acc: 87.109% (223/256)              
 [>................................................................] 2/157   Step: 1s978ms | Tot: 1s978ms | Loss: 0.356 | Acc: 89.258% (457/512)              
 [>................................................................] 3/157   Step: 967ms | Tot: 2s945ms | Loss: 0.376 | Acc: 89.323% (686/768)              
 [=>...............................................................] 4/157   Step: 1s159ms | Tot: 4s105ms | Loss: 0.377 | Acc: 89.355% (915/1024)              
 [=>...............................................................] 5/157   Step: 955ms | Tot: 5s60ms | Loss: 0.379 | Acc: 89.219% (1142/1280)              
 [==>..............................................................] 6/157   Step: 961ms | Tot: 6s21ms | Loss: 0.382 | Acc: 88.932% (1366/1536)              
 [==>..............................................................] 7/157   Step: 969ms | Tot: 6s991ms | Loss: 0.373 | Acc: 89.230% (1599/1792)              
 [==>..............................................................] 8/157   Step: 956ms | Tot: 7s947ms | Loss: 0.376 | Acc: 89.062% (1824/2048)              
 [===>.............................................................] 9/157   Step: 1s59ms | Tot: 9s7ms | Loss: 0.368 | Acc: 89.106% (2053/2304)              
 [===>.............................................................] 10/157   Step: 954ms | Tot: 9s961ms | Loss: 0.370 | Acc: 89.023% (2279/2560)              
 [====>............................................................] 11/157   Step: 953ms | Tot: 10s915ms | Loss: 0.365 | Acc: 89.276% (2514/2816)              
 [=========================>.......................................] 63/157   Step: 960ms | Tot: 1m1s | Loss: 0.257 | Acc: 92.665% (14945/16128)              
 [==========================>......................................] 64/157   Step: 956ms | Tot: 1m2s | Loss: 0.256 | Acc: 92.694% (15187/16384)              
 [==========================>......................................] 65/157   Step: 1s89ms | Tot: 1m4s | Loss: 0.255 | Acc: 92.734% (15431/16640)              
 [==========================>......................................] 66/157   Step: 949ms | Tot: 1m4s | Loss: 0.254 | Acc: 92.738% (15669/16896)              
 [===========================>.....................................] 67/157   Step: 956ms | Tot: 1m5s | Loss: 0.252 | Acc: 92.794% (15916/17152)              
 [===========================>.....................................] 68/157   Step: 971ms | Tot: 1m6s | Loss: 0.252 | Acc: 92.831% (16160/17408)              
 [============================>....................................] 69/157   Step: 1s71ms | Tot: 1m7s | Loss: 0.250 | Acc: 92.873% (16405/17664)              
 [============================>....................................] 70/157   Step: 953ms | Tot: 1m8s | Loss: 0.250 | Acc: 92.919% (16651/17920)              
 [============================>....................................] 71/157   Step: 962ms | Tot: 1m9s | Loss: 0.248 | Acc: 92.974% (16899/18176)              
 [=============================>...................................] 72/157   Step: 959ms | Tot: 1m10s | Loss: 0.247 | Acc: 93.023% (17146/18432)              
 [=============================>...................................] 73/157   Step: 950ms | Tot: 1m11s | Loss: 0.246 | Acc: 93.076% (17394/18688)              
 [==============================>..................................] 74/157   Step: 1s56ms | Tot: 1m12s | Loss: 0.245 | Acc: 93.106% (17638/18944)              
 [==============================>..................................] 75/157   Step: 952ms | Tot: 1m13s | Loss: 0.244 | Acc: 93.161% (17887/19200)              
