cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 3
Train with the pop selected dataset.
load parameters
Now try to run the algorithm POP
------------------ Start to select subsets ------------------
Selected 9674 samples for weakkness <= 7.
Train with the selected 9674 samples.
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [==============================>..................................] 19/38   Step: 957ms | Tot: 17s942ms | Loss: 0.002 | Acc: 99.979% (4863/4864)              
 [================================>................................] 20/38   Step: 964ms | Tot: 18s906ms | Loss: 0.002 | Acc: 99.980% (5119/5120)              
 [==================================>..............................] 21/38   Step: 1s77ms | Tot: 19s983ms | Loss: 0.002 | Acc: 99.981% (5375/5376)              
 [===================================>.............................] 22/38   Step: 959ms | Tot: 20s943ms | Loss: 0.002 | Acc: 99.982% (5631/5632)              
 [=====================================>...........................] 23/38   Step: 966ms | Tot: 21s909ms | Loss: 0.002 | Acc: 99.983% (5887/5888)              
 [=======================================>.........................] 24/38   Step: 964ms | Tot: 22s874ms | Loss: 0.002 | Acc: 99.984% (6143/6144)              
 [=========================================>.......................] 25/38   Step: 961ms | Tot: 23s835ms | Loss: 0.002 | Acc: 99.984% (6399/6400)              
 [==========================================>......................] 26/38   Step: 1s68ms | Tot: 24s904ms | Loss: 0.002 | Acc: 99.985% (6655/6656)              
 [============================================>....................] 27/38   Step: 965ms | Tot: 25s869ms | Loss: 0.002 | Acc: 99.986% (6911/6912)              
 [==============================================>..................] 28/38   Step: 987ms | Tot: 26s857ms | Loss: 0.002 | Acc: 99.986% (7167/7168)              
 [===============================================>.................] 29/38   Step: 959ms | Tot: 27s816ms | Loss: 0.002 | Acc: 99.987% (7423/7424)              
 [=================================================>...............] 30/38   Step: 1s64ms | Tot: 28s881ms | Loss: 0.002 | Acc: 99.987% (7679/7680)              
 [===================================================>.............] 31/38   Step: 961ms | Tot: 29s842ms | Loss: 0.002 | Acc: 99.987% (7935/7936)              
 [=====================================================>...........] 32/38   Step: 960ms | Tot: 30s803ms | Loss: 0.002 | Acc: 99.988% (8191/8192)              
 [======================================================>..........] 33/38   Step: 972ms | Tot: 31s775ms | Loss: 0.002 | Acc: 99.988% (8447/8448)              
 [========================================================>........] 34/38   Step: 941ms | Tot: 32s717ms | Loss: 0.002 | Acc: 99.989% (8703/8704)              
 [==========================================================>......] 35/38   Step: 954ms | Tot: 33s671ms | Loss: 0.002 | Acc: 99.989% (8959/8960)              
 [===========================================================>.....] 36/38   Step: 847ms | Tot: 34s519ms | Loss: 0.002 | Acc: 99.989% (9215/9216)              
 [=============================================================>...] 37/38   Step: 852ms | Tot: 35s372ms | Loss: 0.002 | Acc: 99.989% (9471/9472)              
 [===============================================================>.] 38/38   Step: 861ms | Tot: 36s233ms | Loss: 0.002 | Acc: 99.990% (9673/9674)
 [>................................................................] 1/40   Step: 1s337ms | Tot: 0ms | Loss: 0.392 | Acc: 89.453% (229/256)              
 [=>...............................................................] 2/40   Step: 414ms | Tot: 414ms | Loss: 0.480 | Acc: 87.891% (450/512)              
 [===>.............................................................] 3/40   Step: 418ms | Tot: 833ms | Loss: 0.465 | Acc: 88.411% (679/768)              
 [====>............................................................] 4/40   Step: 413ms | Tot: 1s247ms | Loss: 0.449 | Acc: 88.184% (903/1024)              
