cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 3
Train with the cl selected dataset.
load parameters
------------------ Start to select subsets ------------------
Selected 50 percent training data.
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [=======================================================>.........] 68/79   Step: 1s95ms | Tot: 1m7s | Loss: 0.094 | Acc: 97.570% (16985/17408)              
 [=======================================================>.........] 69/79   Step: 957ms | Tot: 1m8s | Loss: 0.093 | Acc: 97.583% (17237/17664)              
 [========================================================>........] 70/79   Step: 955ms | Tot: 1m9s | Loss: 0.093 | Acc: 97.578% (17486/17920)              
 [=========================================================>.......] 71/79   Step: 957ms | Tot: 1m10s | Loss: 0.093 | Acc: 97.590% (17738/18176)              
 [==========================================================>......] 72/79   Step: 956ms | Tot: 1m11s | Loss: 0.092 | Acc: 97.602% (17990/18432)              
 [===========================================================>.....] 73/79   Step: 1s74ms | Tot: 1m12s | Loss: 0.092 | Acc: 97.603% (18240/18688)              
 [============================================================>....] 74/79   Step: 967ms | Tot: 1m13s | Loss: 0.092 | Acc: 97.603% (18490/18944)              
 [============================================================>....] 75/79   Step: 865ms | Tot: 1m14s | Loss: 0.091 | Acc: 97.609% (18741/19200)              
 [=============================================================>...] 76/79   Step: 846ms | Tot: 1m14s | Loss: 0.093 | Acc: 97.564% (18982/19456)              
 [==============================================================>..] 77/79   Step: 954ms | Tot: 1m15s | Loss: 0.092 | Acc: 97.570% (19233/19712)              
 [===============================================================>.] 78/79   Step: 848ms | Tot: 1m16s | Loss: 0.092 | Acc: 97.586% (19486/19968)              
 [================================================================>] 79/79   Step: 7s473ms | Tot: 1m24s | Loss: 0.092 | Acc: 97.575% (19515/20000)
 [>................................................................] 1/40   Step: 1s69ms | Tot: 0ms | Loss: 0.174 | Acc: 94.531% (242/256)              
 [=>...............................................................] 2/40   Step: 424ms | Tot: 424ms | Loss: 0.286 | Acc: 91.602% (469/512)              
 [===>.............................................................] 3/40   Step: 415ms | Tot: 839ms | Loss: 0.270 | Acc: 92.448% (710/768)              
 [====>............................................................] 4/40   Step: 577ms | Tot: 1s416ms | Loss: 0.260 | Acc: 92.578% (948/1024)              
 [======>..........................................................] 5/40   Step: 420ms | Tot: 1s837ms | Loss: 0.240 | Acc: 93.125% (1192/1280)              
 [========>........................................................] 6/40   Step: 419ms | Tot: 2s257ms | Loss: 0.246 | Acc: 92.969% (1428/1536)              
 [=========>.......................................................] 7/40   Step: 411ms | Tot: 2s669ms | Loss: 0.247 | Acc: 93.192% (1670/1792)              
 [===========>.....................................................] 8/40   Step: 414ms | Tot: 3s83ms | Loss: 0.252 | Acc: 93.115% (1907/2048)              
 [=============>...................................................] 9/40   Step: 418ms | Tot: 3s502ms | Loss: 0.250 | Acc: 93.012% (2143/2304)              
 [==============>..................................................] 10/40   Step: 517ms | Tot: 4s19ms | Loss: 0.246 | Acc: 93.164% (2385/2560)              
 [================>................................................] 11/40   Step: 410ms | Tot: 4s430ms | Loss: 0.249 | Acc: 93.111% (2622/2816)              
 [=================>...............................................] 12/40   Step: 413ms | Tot: 4s844ms | Loss: 0.248 | Acc: 93.099% (2860/3072)              
 [===================>.............................................] 13/40   Step: 414ms | Tot: 5s258ms | Loss: 0.257 | Acc: 93.029% (3096/3328)              
 [=====================>...........................................] 14/40   Step: 412ms | Tot: 5s670ms | Loss: 0.248 | Acc: 93.331% (3345/3584)              
