cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 3
Train with the wcl selected dataset.
load parameters
Now try to run the WCL algorithm
Selected 3069 boundary instances.
Start to select 6506 samples for a fair comparison.
The unique selected subset size is: 6506
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [=====>...........................................................] 3/26   Step: 967ms | Tot: 1s947ms | Loss: 0.194 | Acc: 94.531% (726/768)              
 [=======>.........................................................] 4/26   Step: 971ms | Tot: 2s919ms | Loss: 0.211 | Acc: 94.434% (967/1024)              
 [==========>......................................................] 5/26   Step: 1s125ms | Tot: 4s44ms | Loss: 0.205 | Acc: 94.609% (1211/1280)              
 [============>....................................................] 6/26   Step: 966ms | Tot: 5s11ms | Loss: 0.202 | Acc: 94.596% (1453/1536)              
 [===============>.................................................] 7/26   Step: 966ms | Tot: 5s978ms | Loss: 0.195 | Acc: 94.866% (1700/1792)              
 [=================>...............................................] 8/26   Step: 967ms | Tot: 6s945ms | Loss: 0.200 | Acc: 94.922% (1944/2048)              
 [====================>............................................] 9/26   Step: 1s82ms | Tot: 8s28ms | Loss: 0.200 | Acc: 95.009% (2189/2304)              
 [======================>..........................................] 10/26   Step: 971ms | Tot: 8s999ms | Loss: 0.201 | Acc: 95.000% (2432/2560)              
 [=========================>.......................................] 11/26   Step: 970ms | Tot: 9s970ms | Loss: 0.197 | Acc: 95.099% (2678/2816)              
 [===========================>.....................................] 12/26   Step: 968ms | Tot: 10s939ms | Loss: 0.189 | Acc: 95.182% (2924/3072)              
 [==============================>..................................] 13/26   Step: 977ms | Tot: 11s917ms | Loss: 0.192 | Acc: 95.072% (3164/3328)              
 [================================>................................] 14/26   Step: 1s74ms | Tot: 12s992ms | Loss: 0.196 | Acc: 94.978% (3404/3584)              
 [===================================>.............................] 15/26   Step: 963ms | Tot: 13s955ms | Loss: 0.202 | Acc: 94.844% (3642/3840)              
 [=====================================>...........................] 16/26   Step: 955ms | Tot: 14s910ms | Loss: 0.203 | Acc: 94.727% (3880/4096)              
 [========================================>........................] 17/26   Step: 953ms | Tot: 15s863ms | Loss: 0.201 | Acc: 94.761% (4124/4352)              
 [==========================================>......................] 18/26   Step: 1s59ms | Tot: 16s923ms | Loss: 0.201 | Acc: 94.727% (4365/4608)              
 [=============================================>...................] 19/26   Step: 969ms | Tot: 17s892ms | Loss: 0.205 | Acc: 94.613% (4602/4864)              
 [===============================================>.................] 20/26   Step: 955ms | Tot: 18s848ms | Loss: 0.205 | Acc: 94.609% (4844/5120)              
 [==================================================>..............] 21/26   Step: 955ms | Tot: 19s804ms | Loss: 0.203 | Acc: 94.587% (5085/5376)              
 [====================================================>............] 22/26   Step: 890ms | Tot: 20s694ms | Loss: 0.210 | Acc: 94.460% (5320/5632)              
 [=======================================================>.........] 23/26   Step: 949ms | Tot: 21s643ms | Loss: 0.212 | Acc: 94.344% (5555/5888)              
 [=========================================================>.......] 24/26   Step: 843ms | Tot: 22s487ms | Loss: 0.217 | Acc: 94.271% (5792/6144)              
 [============================================================>....] 25/26   Step: 842ms | Tot: 23s330ms | Loss: 0.215 | Acc: 94.297% (6035/6400)              
 [==============================================================>..] 26/26   Step: 869ms | Tot: 24s199ms | Loss: 0.216 | Acc: 94.267% (6133/6506)
 [>................................................................] 1/40   Step: 1s25ms | Tot: 0ms | Loss: 0.565 | Acc: 87.109% (223/256)              
 [=>...............................................................] 2/40   Step: 586ms | Tot: 586ms | Loss: 0.631 | Acc: 85.352% (437/512)              
 [===>.............................................................] 3/40   Step: 422ms | Tot: 1s9ms | Loss: 0.629 | Acc: 84.635% (650/768)              
 [====>............................................................] 4/40   Step: 420ms | Tot: 1s429ms | Loss: 0.628 | Acc: 84.961% (870/1024)              
 [======>..........................................................] 5/40   Step: 418ms | Tot: 1s848ms | Loss: 0.614 | Acc: 85.469% (1094/1280)              
 [========>........................................................] 6/40   Step: 417ms | Tot: 2s266ms | Loss: 0.641 | Acc: 84.570% (1299/1536)              
 [=========>.......................................................] 7/40   Step: 547ms | Tot: 2s813ms | Loss: 0.651 | Acc: 84.710% (1518/1792)              
 [===========>.....................................................] 8/40   Step: 423ms | Tot: 3s237ms | Loss: 0.660 | Acc: 84.619% (1733/2048)              
 [=============>...................................................] 9/40   Step: 423ms | Tot: 3s660ms | Loss: 0.658 | Acc: 84.375% (1944/2304)              
 [==============>..................................................] 10/40   Step: 415ms | Tot: 4s75ms | Loss: 0.644 | Acc: 84.766% (2170/2560)              
 [================>................................................] 11/40   Step: 415ms | Tot: 4s491ms | Loss: 0.640 | Acc: 84.801% (2388/2816)              
 [=================>...............................................] 12/40   Step: 416ms | Tot: 4s908ms | Loss: 0.645 | Acc: 84.766% (2604/3072)              
 [===================>.............................................] 13/40   Step: 518ms | Tot: 5s426ms | Loss: 0.650 | Acc: 84.675% (2818/3328)              
 [=====================>...........................................] 14/40   Step: 418ms | Tot: 5s845ms | Loss: 0.642 | Acc: 84.654% (3034/3584)              
 [======================>..........................................] 15/40   Step: 419ms | Tot: 6s264ms | Loss: 0.643 | Acc: 84.661% (3251/3840)              
 [========================>........................................] 16/40   Step: 422ms | Tot: 6s687ms | Loss: 0.646 | Acc: 84.692% (3469/4096)              
 [==========================>......................................] 17/40   Step: 420ms | Tot: 7s107ms | Loss: 0.646 | Acc: 84.674% (3685/4352)              
 [===========================>.....................................] 18/40   Step: 530ms | Tot: 7s637ms | Loss: 0.650 | Acc: 84.375% (3888/4608)              
 [=============================>...................................] 19/40   Step: 421ms | Tot: 8s58ms | Loss: 0.646 | Acc: 84.539% (4112/4864)              
 [==============================>..................................] 20/40   Step: 426ms | Tot: 8s484ms | Loss: 0.648 | Acc: 84.531% (4328/5120)              
 [================================>................................] 21/40   Step: 421ms | Tot: 8s906ms | Loss: 0.649 | Acc: 84.580% (4547/5376)              
 [==================================>..............................] 22/40   Step: 420ms | Tot: 9s327ms | Loss: 0.655 | Acc: 84.535% (4761/5632)              
 [===================================>.............................] 23/40   Step: 422ms | Tot: 9s749ms | Loss: 0.656 | Acc: 84.443% (4972/5888)              
 [=====================================>...........................] 24/40   Step: 524ms | Tot: 10s274ms | Loss: 0.650 | Acc: 84.473% (5190/6144)              
 [=======================================>.........................] 25/40   Step: 422ms | Tot: 10s696ms | Loss: 0.655 | Acc: 84.516% (5409/6400)              
 [========================================>........................] 26/40   Step: 418ms | Tot: 11s114ms | Loss: 0.667 | Acc: 84.375% (5616/6656)              
 [==========================================>......................] 27/40   Step: 424ms | Tot: 11s538ms | Loss: 0.669 | Acc: 84.404% (5834/6912)              
 [===========================================>.....................] 28/40   Step: 421ms | Tot: 11s960ms | Loss: 0.678 | Acc: 84.319% (6044/7168)              
 [=============================================>...................] 29/40   Step: 527ms | Tot: 12s487ms | Loss: 0.678 | Acc: 84.321% (6260/7424)              
 [===============================================>.................] 30/40   Step: 433ms | Tot: 12s921ms | Loss: 0.684 | Acc: 84.219% (6468/7680)              
 [================================================>................] 31/40   Step: 420ms | Tot: 13s341ms | Loss: 0.682 | Acc: 84.312% (6691/7936)              
 [==================================================>..............] 32/40   Step: 421ms | Tot: 13s763ms | Loss: 0.681 | Acc: 84.302% (6906/8192)              
 [====================================================>............] 33/40   Step: 418ms | Tot: 14s181ms | Loss: 0.680 | Acc: 84.257% (7118/8448)              
 [=====================================================>...........] 34/40   Step: 422ms | Tot: 14s604ms | Loss: 0.679 | Acc: 84.318% (7339/8704)              
 [=======================================================>.........] 35/40   Step: 516ms | Tot: 15s120ms | Loss: 0.678 | Acc: 84.364% (7559/8960)              
 [========================================================>........] 36/40   Step: 374ms | Tot: 15s495ms | Loss: 0.680 | Acc: 84.256% (7765/9216)              
 [==========================================================>......] 37/40   Step: 372ms | Tot: 15s867ms | Loss: 0.681 | Acc: 84.259% (7981/9472)              
 [============================================================>....] 38/40   Step: 370ms | Tot: 16s237ms | Loss: 0.684 | Acc: 84.190% (8190/9728)              
 [=============================================================>...] 39/40   Step: 372ms | Tot: 16s610ms | Loss: 0.681 | Acc: 84.225% (8409/9984)              
