cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
Train with the pop selected dataset.
load parameters
Now try to run the algorithm POP
------------------ Start to select subsets ------------------
Selected 5439 samples for weakkness <= 5.
Train with the selected 5439 samples.
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [==================================================>..............] 18/22   Step: 970ms | Tot: 16s739ms | Loss: 0.038 | Acc: 99.154% (4569/4608)              
 [=====================================================>...........] 19/22   Step: 838ms | Tot: 17s577ms | Loss: 0.037 | Acc: 99.178% (4824/4864)              
 [========================================================>........] 20/22   Step: 837ms | Tot: 18s415ms | Loss: 0.037 | Acc: 99.199% (5079/5120)              
 [===========================================================>.....] 21/22   Step: 833ms | Tot: 19s248ms | Loss: 0.037 | Acc: 99.219% (5334/5376)              
 [==============================================================>..] 22/22   Step: 1s8ms | Tot: 20s257ms | Loss: 0.038 | Acc: 99.173% (5394/5439)
 [>................................................................] 1/40   Step: 1s66ms | Tot: 0ms | Loss: 1.026 | Acc: 72.656% (186/256)              
 [=>...............................................................] 2/40   Step: 422ms | Tot: 422ms | Loss: 1.119 | Acc: 71.680% (367/512)              
 [===>.............................................................] 3/40   Step: 419ms | Tot: 842ms | Loss: 1.045 | Acc: 73.958% (568/768)              
 [====>............................................................] 4/40   Step: 425ms | Tot: 1s267ms | Loss: 1.042 | Acc: 73.730% (755/1024)              
 [======>..........................................................] 5/40   Step: 421ms | Tot: 1s689ms | Loss: 1.001 | Acc: 74.297% (951/1280)              
 [========>........................................................] 6/40   Step: 583ms | Tot: 2s273ms | Loss: 1.008 | Acc: 74.089% (1138/1536)              
 [=========>.......................................................] 7/40   Step: 424ms | Tot: 2s697ms | Loss: 1.004 | Acc: 74.051% (1327/1792)              
 [===========>.....................................................] 8/40   Step: 415ms | Tot: 3s112ms | Loss: 1.011 | Acc: 74.023% (1516/2048)              
 [=============>...................................................] 9/40   Step: 421ms | Tot: 3s534ms | Loss: 0.988 | Acc: 74.262% (1711/2304)              
 [==============>..................................................] 10/40   Step: 427ms | Tot: 3s962ms | Loss: 0.983 | Acc: 74.453% (1906/2560)              
 [================>................................................] 11/40   Step: 424ms | Tot: 4s386ms | Loss: 0.996 | Acc: 74.432% (2096/2816)              
 [=================>...............................................] 12/40   Step: 526ms | Tot: 4s913ms | Loss: 0.997 | Acc: 74.121% (2277/3072)              
 [===================>.............................................] 13/40   Step: 421ms | Tot: 5s334ms | Loss: 1.001 | Acc: 74.339% (2474/3328)              
 [=====================>...........................................] 14/40   Step: 424ms | Tot: 5s759ms | Loss: 1.003 | Acc: 74.414% (2667/3584)              
 [======================>..........................................] 15/40   Step: 426ms | Tot: 6s185ms | Loss: 1.012 | Acc: 74.323% (2854/3840)              
 [========================>........................................] 16/40   Step: 424ms | Tot: 6s609ms | Loss: 1.014 | Acc: 74.268% (3042/4096)              
 [==========================>......................................] 17/40   Step: 421ms | Tot: 7s31ms | Loss: 1.009 | Acc: 74.265% (3232/4352)              
 [===========================>.....................................] 18/40   Step: 528ms | Tot: 7s559ms | Loss: 1.022 | Acc: 73.937% (3407/4608)              
 [=============================>...................................] 19/40   Step: 419ms | Tot: 7s978ms | Loss: 1.031 | Acc: 73.951% (3597/4864)              
 [==============================>..................................] 20/40   Step: 422ms | Tot: 8s400ms | Loss: 1.038 | Acc: 74.023% (3790/5120)              
 [================================>................................] 21/40   Step: 421ms | Tot: 8s822ms | Loss: 1.039 | Acc: 74.014% (3979/5376)              
 [==================================>..............................] 22/40   Step: 419ms | Tot: 9s242ms | Loss: 1.042 | Acc: 73.970% (4166/5632)              
 [===================================>.............................] 23/40   Step: 416ms | Tot: 9s658ms | Loss: 1.045 | Acc: 73.964% (4355/5888)              
 [=====================================>...........................] 24/40   Step: 527ms | Tot: 10s185ms | Loss: 1.047 | Acc: 73.910% (4541/6144)              
 [=======================================>.........................] 25/40   Step: 439ms | Tot: 10s625ms | Loss: 1.053 | Acc: 73.797% (4723/6400)              
 [========================================>........................] 26/40   Step: 419ms | Tot: 11s44ms | Loss: 1.066 | Acc: 73.708% (4906/6656)              
 [==========================================>......................] 27/40   Step: 418ms | Tot: 11s463ms | Loss: 1.066 | Acc: 73.727% (5096/6912)              
 [===========================================>.....................] 28/40   Step: 417ms | Tot: 11s880ms | Loss: 1.071 | Acc: 73.675% (5281/7168)              
 [=============================================>...................] 29/40   Step: 411ms | Tot: 12s291ms | Loss: 1.069 | Acc: 73.720% (5473/7424)              
 [===============================================>.................] 30/40   Step: 516ms | Tot: 12s808ms | Loss: 1.066 | Acc: 73.698% (5660/7680)              
 [================================================>................] 31/40   Step: 414ms | Tot: 13s223ms | Loss: 1.060 | Acc: 73.816% (5858/7936)              
 [==================================================>..............] 32/40   Step: 414ms | Tot: 13s637ms | Loss: 1.065 | Acc: 73.853% (6050/8192)              
 [====================================================>............] 33/40   Step: 425ms | Tot: 14s63ms | Loss: 1.064 | Acc: 73.899% (6243/8448)              
 [=====================================================>...........] 34/40   Step: 412ms | Tot: 14s475ms | Loss: 1.060 | Acc: 74.000% (6441/8704)              
 [=======================================================>.........] 35/40   Step: 412ms | Tot: 14s887ms | Loss: 1.055 | Acc: 74.141% (6643/8960)              
