cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 3
Train with the pop selected dataset.
load parameters
Now try to run the algorithm POP
------------------ Start to select subsets ------------------
Selected 5439 samples for weakkness <= 5.
Train with the selected 5439 samples.
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [=====================================>...........................] 24/40   Step: 420ms | Tot: 10s198ms | Loss: 1.009 | Acc: 76.188% (4681/6144)              
 [=======================================>.........................] 25/40   Step: 543ms | Tot: 10s741ms | Loss: 1.012 | Acc: 76.141% (4873/6400)              
 [========================================>........................] 26/40   Step: 420ms | Tot: 11s162ms | Loss: 1.025 | Acc: 75.992% (5058/6656)              
 [==========================================>......................] 27/40   Step: 420ms | Tot: 11s582ms | Loss: 1.024 | Acc: 76.085% (5259/6912)              
 [===========================================>.....................] 28/40   Step: 420ms | Tot: 12s2ms | Loss: 1.028 | Acc: 76.032% (5450/7168)              
 [=============================================>...................] 29/40   Step: 420ms | Tot: 12s423ms | Loss: 1.030 | Acc: 76.037% (5645/7424)              
 [===============================================>.................] 30/40   Step: 420ms | Tot: 12s843ms | Loss: 1.025 | Acc: 76.081% (5843/7680)              
 [================================================>................] 31/40   Step: 527ms | Tot: 13s371ms | Loss: 1.018 | Acc: 76.084% (6038/7936)              
 [==================================================>..............] 32/40   Step: 419ms | Tot: 13s791ms | Loss: 1.020 | Acc: 76.074% (6232/8192)              
 [====================================================>............] 33/40   Step: 420ms | Tot: 14s212ms | Loss: 1.019 | Acc: 76.101% (6429/8448)              
 [=====================================================>...........] 34/40   Step: 421ms | Tot: 14s633ms | Loss: 1.016 | Acc: 76.103% (6624/8704)              
 [=======================================================>.........] 35/40   Step: 421ms | Tot: 15s54ms | Loss: 1.011 | Acc: 76.161% (6824/8960)              
 [========================================================>........] 36/40   Step: 383ms | Tot: 15s438ms | Loss: 1.012 | Acc: 76.118% (7015/9216)              
 [==========================================================>......] 37/40   Step: 485ms | Tot: 15s923ms | Loss: 1.008 | Acc: 76.256% (7223/9472)              
 [============================================================>....] 38/40   Step: 377ms | Tot: 16s301ms | Loss: 1.012 | Acc: 76.110% (7404/9728)              
 [=============================================================>...] 39/40   Step: 376ms | Tot: 16s677ms | Loss: 1.010 | Acc: 76.152% (7603/9984)              
 [===============================================================>.] 40/40   Step: 379ms | Tot: 17s56ms | Loss: 1.009 | Acc: 76.170% (7617/10000)
Saving with better validation accuracy model: 76.170..

Epoch: 2
 [>................................................................] 1/22   Step: 2s16ms | Tot: 0ms | Loss: 0.002 | Acc: 100.000% (256/256)              
 [==>..............................................................] 2/22   Step: 1s145ms | Tot: 1s146ms | Loss: 0.003 | Acc: 100.000% (512/512)              
 [=====>...........................................................] 3/22   Step: 992ms | Tot: 2s138ms | Loss: 0.003 | Acc: 100.000% (768/768)              
 [========>........................................................] 4/22   Step: 984ms | Tot: 3s123ms | Loss: 0.003 | Acc: 100.000% (1024/1024)              
 [===========>.....................................................] 5/22   Step: 973ms | Tot: 4s97ms | Loss: 0.004 | Acc: 100.000% (1280/1280)              
 [==============>..................................................] 6/22   Step: 967ms | Tot: 5s64ms | Loss: 0.003 | Acc: 100.000% (1536/1536)              
 [=================>...............................................] 7/22   Step: 1s78ms | Tot: 6s143ms | Loss: 0.003 | Acc: 100.000% (1792/1792)              
 [====================>............................................] 8/22   Step: 976ms | Tot: 7s119ms | Loss: 0.003 | Acc: 100.000% (2048/2048)              
 [=======================>.........................................] 9/22   Step: 974ms | Tot: 8s93ms | Loss: 0.003 | Acc: 100.000% (2304/2304)              
 [==========================>......................................] 10/22   Step: 968ms | Tot: 9s62ms | Loss: 0.003 | Acc: 100.000% (2560/2560)              
