cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 3
Train with the cl selected dataset.
------------------ Start to select subsets ------------------
Start to select 14546 samples for a fair comparison.
Use multiple GPU to train the network.
load parameters
Use 100 epochs

Epoch: 0
 [>................................................................] 1/57   Step: 41s951ms | Tot: 0ms | Loss: 0.100 | Acc: 98.047% (251/256)              
 [=>...............................................................] 2/57   Step: 1s962ms | Tot: 1s962ms | Loss: 0.113 | Acc: 97.656% (500/512)              
 [==>..............................................................] 3/57   Step: 965ms | Tot: 2s928ms | Loss: 0.126 | Acc: 97.135% (746/768)              
 [===>.............................................................] 4/57   Step: 1s165ms | Tot: 4s93ms | Loss: 0.134 | Acc: 97.168% (995/1024)              
 [====>............................................................] 5/57   Step: 961ms | Tot: 5s54ms | Loss: 0.138 | Acc: 97.109% (1243/1280)              
 [=====>...........................................................] 6/57   Step: 961ms | Tot: 6s15ms | Loss: 0.122 | Acc: 97.266% (1494/1536)              
 [======>..........................................................] 7/57   Step: 954ms | Tot: 6s970ms | Loss: 0.134 | Acc: 97.098% (1740/1792)              
 [=======>.........................................................] 8/57   Step: 955ms | Tot: 7s926ms | Loss: 0.128 | Acc: 97.168% (1990/2048)              
 [=========>.......................................................] 9/57   Step: 1s58ms | Tot: 8s985ms | Loss: 0.141 | Acc: 96.962% (2234/2304)              
 [==========>......................................................] 10/57   Step: 952ms | Tot: 9s937ms | Loss: 0.141 | Acc: 96.875% (2480/2560)              
 [===========>.....................................................] 11/57   Step: 952ms | Tot: 10s890ms | Loss: 0.145 | Acc: 96.733% (2724/2816)              
 [============>....................................................] 12/57   Step: 959ms | Tot: 11s849ms | Loss: 0.140 | Acc: 96.842% (2975/3072)              
 [=============>...................................................] 13/57   Step: 961ms | Tot: 12s811ms | Loss: 0.136 | Acc: 96.905% (3225/3328)              
 [=============>...................................................] 9/40   Step: 419ms | Tot: 3s571ms | Loss: 0.306 | Acc: 92.144% (2123/2304)              
 [==============>..................................................] 10/40   Step: 524ms | Tot: 4s96ms | Loss: 0.293 | Acc: 92.422% (2366/2560)              
 [================>................................................] 11/40   Step: 423ms | Tot: 4s520ms | Loss: 0.295 | Acc: 92.507% (2605/2816)              
 [=================>...............................................] 12/40   Step: 420ms | Tot: 4s940ms | Loss: 0.304 | Acc: 92.253% (2834/3072)              
 [===================>.............................................] 13/40   Step: 423ms | Tot: 5s364ms | Loss: 0.311 | Acc: 92.188% (3068/3328)              
 [=====================>...........................................] 14/40   Step: 431ms | Tot: 5s795ms | Loss: 0.305 | Acc: 92.383% (3311/3584)              
 [======================>..........................................] 15/40   Step: 426ms | Tot: 6s222ms | Loss: 0.312 | Acc: 92.135% (3538/3840)              
 [========================>........................................] 16/40   Step: 425ms | Tot: 6s648ms | Loss: 0.310 | Acc: 92.041% (3770/4096)              
 [==========================>......................................] 17/40   Step: 545ms | Tot: 7s193ms | Loss: 0.312 | Acc: 92.073% (4007/4352)              
 [===========================>.....................................] 18/40   Step: 424ms | Tot: 7s617ms | Loss: 0.321 | Acc: 91.797% (4230/4608)              
 [=============================>...................................] 19/40   Step: 423ms | Tot: 8s40ms | Loss: 0.319 | Acc: 91.838% (4467/4864)              
 [==============================>..................................] 20/40   Step: 431ms | Tot: 8s472ms | Loss: 0.319 | Acc: 91.855% (4703/5120)              
 [================================>................................] 21/40   Step: 420ms | Tot: 8s893ms | Loss: 0.318 | Acc: 91.890% (4940/5376)              
 [==================================>..............................] 22/40   Step: 425ms | Tot: 9s318ms | Loss: 0.318 | Acc: 91.815% (5171/5632)              
 [===================================>.............................] 23/40   Step: 424ms | Tot: 9s743ms | Loss: 0.323 | Acc: 91.661% (5397/5888)              
