cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 3
Train with the pop selected dataset.
load parameters
Now try to run the algorithm POP
------------------ Start to select subsets ------------------
Selected 14546 samples for weakkness <= 9.
Train with the selected 14546 samples.
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [===========>.....................................................] 8/40   Step: 416ms | Tot: 3s76ms | Loss: 0.250 | Acc: 92.920% (1903/2048)              
 [=============>...................................................] 9/40   Step: 519ms | Tot: 3s595ms | Loss: 0.249 | Acc: 92.839% (2139/2304)              
 [==============>..................................................] 10/40   Step: 414ms | Tot: 4s9ms | Loss: 0.240 | Acc: 93.125% (2384/2560)              
 [================>................................................] 11/40   Step: 414ms | Tot: 4s424ms | Loss: 0.240 | Acc: 93.182% (2624/2816)              
 [=================>...............................................] 12/40   Step: 413ms | Tot: 4s838ms | Loss: 0.257 | Acc: 92.904% (2854/3072)              
 [===================>.............................................] 13/40   Step: 413ms | Tot: 5s251ms | Loss: 0.260 | Acc: 92.939% (3093/3328)              
 [=====================>...........................................] 14/40   Step: 413ms | Tot: 5s665ms | Loss: 0.256 | Acc: 92.969% (3332/3584)              
 [======================>..........................................] 15/40   Step: 518ms | Tot: 6s183ms | Loss: 0.262 | Acc: 92.839% (3565/3840)              
 [========================>........................................] 16/40   Step: 412ms | Tot: 6s596ms | Loss: 0.274 | Acc: 92.578% (3792/4096)              
 [==========================>......................................] 17/40   Step: 413ms | Tot: 7s9ms | Loss: 0.277 | Acc: 92.578% (4029/4352)              
 [===========================>.....................................] 18/40   Step: 413ms | Tot: 7s422ms | Loss: 0.285 | Acc: 92.426% (4259/4608)              
 [=============================>...................................] 19/40   Step: 413ms | Tot: 7s836ms | Loss: 0.287 | Acc: 92.373% (4493/4864)              
 [==============================>..................................] 20/40   Step: 424ms | Tot: 8s261ms | Loss: 0.287 | Acc: 92.441% (4733/5120)              
 [================================>................................] 21/40   Step: 521ms | Tot: 8s782ms | Loss: 0.289 | Acc: 92.429% (4969/5376)              
 [==================================>..............................] 22/40   Step: 412ms | Tot: 9s194ms | Loss: 0.290 | Acc: 92.365% (5202/5632)              
 [===================================>.............................] 23/40   Step: 412ms | Tot: 9s607ms | Loss: 0.291 | Acc: 92.306% (5435/5888)              
 [=====================================>...........................] 24/40   Step: 412ms | Tot: 10s19ms | Loss: 0.293 | Acc: 92.285% (5670/6144)              
 [=======================================>.........................] 25/40   Step: 412ms | Tot: 10s432ms | Loss: 0.295 | Acc: 92.203% (5901/6400)              
 [========================================>........................] 26/40   Step: 412ms | Tot: 10s845ms | Loss: 0.300 | Acc: 92.067% (6128/6656)              
 [==========================================>......................] 27/40   Step: 521ms | Tot: 11s367ms | Loss: 0.301 | Acc: 92.086% (6365/6912)              
 [===========================================>.....................] 28/40   Step: 411ms | Tot: 11s778ms | Loss: 0.307 | Acc: 92.020% (6596/7168)              
 [=============================================>...................] 29/40   Step: 411ms | Tot: 12s190ms | Loss: 0.306 | Acc: 92.039% (6833/7424)              
 [===============================================>.................] 30/40   Step: 411ms | Tot: 12s601ms | Loss: 0.302 | Acc: 92.070% (7071/7680)              
