cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 3
Train with the cl selected dataset.
load parameters
------------------ Start to select subsets ------------------
Selected 90 percent training data.
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [>................................................................] 1/141   Step: 1m11s | Tot: 0ms | Loss: 0.009 | Acc: 99.609% (255/256)              
 [>................................................................] 2/141   Step: 1s984ms | Tot: 1s984ms | Loss: 0.009 | Acc: 99.805% (511/512)              
 [>................................................................] 3/141   Step: 984ms | Tot: 2s969ms | Loss: 0.009 | Acc: 99.870% (767/768)              
 [=>...............................................................] 4/141   Step: 1s123ms | Tot: 4s92ms | Loss: 0.030 | Acc: 99.316% (1017/1024)              
 [=>...............................................................] 5/141   Step: 959ms | Tot: 5s51ms | Loss: 0.026 | Acc: 99.453% (1273/1280)              
 [==>..............................................................] 6/141   Step: 962ms | Tot: 6s14ms | Loss: 0.026 | Acc: 99.414% (1527/1536)              
 [==>..............................................................] 7/141   Step: 955ms | Tot: 6s970ms | Loss: 0.026 | Acc: 99.386% (1781/1792)              
 [===>.............................................................] 8/141   Step: 965ms | Tot: 7s935ms | Loss: 0.029 | Acc: 99.365% (2035/2048)              
 [===>.............................................................] 9/141   Step: 1s60ms | Tot: 8s996ms | Loss: 0.034 | Acc: 99.262% (2287/2304)              
 [====>............................................................] 10/141   Step: 961ms | Tot: 9s957ms | Loss: 0.035 | Acc: 99.219% (2540/2560)              
 [====>............................................................] 11/141   Step: 957ms | Tot: 10s915ms | Loss: 0.033 | Acc: 99.183% (2793/2816)              
 [=====>...........................................................] 12/141   Step: 964ms | Tot: 11s879ms | Loss: 0.032 | Acc: 99.186% (3047/3072)              
 [=====>...........................................................] 13/141   Step: 978ms | Tot: 12s857ms | Loss: 0.032 | Acc: 99.159% (3300/3328)              
 [=================>...............................................] 12/40   Step: 433ms | Tot: 4s859ms | Loss: 0.177 | Acc: 95.247% (2926/3072)              
 [===================>.............................................] 13/40   Step: 415ms | Tot: 5s274ms | Loss: 0.186 | Acc: 95.072% (3164/3328)              
 [=====================>...........................................] 14/40   Step: 517ms | Tot: 5s792ms | Loss: 0.182 | Acc: 95.201% (3412/3584)              
 [======================>..........................................] 15/40   Step: 415ms | Tot: 6s207ms | Loss: 0.187 | Acc: 95.104% (3652/3840)              
 [========================>........................................] 16/40   Step: 415ms | Tot: 6s623ms | Loss: 0.190 | Acc: 95.068% (3894/4096)              
 [==========================>......................................] 17/40   Step: 414ms | Tot: 7s37ms | Loss: 0.192 | Acc: 95.014% (4135/4352)              
 [===========================>.....................................] 18/40   Step: 415ms | Tot: 7s453ms | Loss: 0.197 | Acc: 94.835% (4370/4608)              
 [=============================>...................................] 19/40   Step: 416ms | Tot: 7s869ms | Loss: 0.195 | Acc: 94.901% (4616/4864)              
 [==============================>..................................] 20/40   Step: 513ms | Tot: 8s383ms | Loss: 0.196 | Acc: 94.883% (4858/5120)              
 [================================>................................] 21/40   Step: 414ms | Tot: 8s797ms | Loss: 0.194 | Acc: 94.885% (5101/5376)              
 [==================================>..............................] 22/40   Step: 415ms | Tot: 9s213ms | Loss: 0.195 | Acc: 94.833% (5341/5632)              
 [===================================>.............................] 23/40   Step: 414ms | Tot: 9s627ms | Loss: 0.198 | Acc: 94.786% (5581/5888)              
 [=====================================>...........................] 24/40   Step: 415ms | Tot: 10s42ms | Loss: 0.195 | Acc: 94.873% (5829/6144)              
 [=======================================>.........................] 25/40   Step: 517ms | Tot: 10s559ms | Loss: 0.197 | Acc: 94.859% (6071/6400)              
 [========================================>........................] 26/40   Step: 415ms | Tot: 10s975ms | Loss: 0.202 | Acc: 94.802% (6310/6656)              
 [==========================================>......................] 27/40   Step: 414ms | Tot: 11s389ms | Loss: 0.203 | Acc: 94.777% (6551/6912)              
 [===========================================>.....................] 28/40   Step: 415ms | Tot: 11s804ms | Loss: 0.203 | Acc: 94.713% (6789/7168)              
 [=============================================>...................] 29/40   Step: 417ms | Tot: 12s222ms | Loss: 0.203 | Acc: 94.693% (7030/7424)              
 [===============================================>.................] 30/40   Step: 414ms | Tot: 12s636ms | Loss: 0.202 | Acc: 94.701% (7273/7680)              
 [================================================>................] 31/40   Step: 514ms | Tot: 13s151ms | Loss: 0.202 | Acc: 94.708% (7516/7936)              
 [==================================================>..............] 32/40   Step: 414ms | Tot: 13s566ms | Loss: 0.200 | Acc: 94.727% (7760/8192)              
 [====================================================>............] 33/40   Step: 414ms | Tot: 13s980ms | Loss: 0.201 | Acc: 94.721% (8002/8448)              
 [=====================================================>...........] 34/40   Step: 414ms | Tot: 14s395ms | Loss: 0.201 | Acc: 94.750% (8247/8704)              
 [=======================================================>.........] 35/40   Step: 429ms | Tot: 14s824ms | Loss: 0.201 | Acc: 94.766% (8491/8960)              
 [========================================================>........] 36/40   Step: 479ms | Tot: 15s304ms | Loss: 0.205 | Acc: 94.672% (8725/9216)              
 [==========================================================>......] 37/40   Step: 371ms | Tot: 15s675ms | Loss: 0.205 | Acc: 94.700% (8970/9472)              
 [============================================================>....] 38/40   Step: 371ms | Tot: 16s47ms | Loss: 0.209 | Acc: 94.644% (9207/9728)              
 [=============================================================>...] 39/40   Step: 371ms | Tot: 16s419ms | Loss: 0.209 | Acc: 94.601% (9445/9984)              
 [===============================================================>.] 40/40   Step: 2s328ms | Tot: 18s747ms | Loss: 0.209 | Acc: 94.610% (9461/10000)
Saving with better validation accuracy model: 94.610..

Epoch: 1
 [>................................................................] 1/141   Step: 2s954ms | Tot: 0ms | Loss: 0.010 | Acc: 100.000% (256/256)              
 [>................................................................] 2/141   Step: 1s119ms | Tot: 1s119ms | Loss: 0.020 | Acc: 99.609% (510/512)              
 [>................................................................] 3/141   Step: 959ms | Tot: 2s78ms | Loss: 0.015 | Acc: 99.740% (766/768)              
 [=>...............................................................] 4/141   Step: 985ms | Tot: 3s64ms | Loss: 0.015 | Acc: 99.707% (1021/1024)              
 [=>...............................................................] 5/141   Step: 963ms | Tot: 4s28ms | Loss: 0.016 | Acc: 99.688% (1276/1280)              
 [==>..............................................................] 6/141   Step: 1s61ms | Tot: 5s90ms | Loss: 0.018 | Acc: 99.609% (1530/1536)              
 [==>..............................................................] 7/141   Step: 963ms | Tot: 6s53ms | Loss: 0.016 | Acc: 99.665% (1786/1792)              
 [===>.............................................................] 8/141   Step: 963ms | Tot: 7s17ms | Loss: 0.020 | Acc: 99.609% (2040/2048)              
 [===>.............................................................] 9/141   Step: 958ms | Tot: 7s976ms | Loss: 0.019 | Acc: 99.653% (2296/2304)              
 [====>............................................................] 10/141   Step: 962ms | Tot: 8s938ms | Loss: 0.017 | Acc: 99.688% (2552/2560)              
 [====>............................................................] 11/141   Step: 1s57ms | Tot: 9s995ms | Loss: 0.017 | Acc: 99.680% (2807/2816)              
 [=====>...........................................................] 12/141   Step: 956ms | Tot: 10s952ms | Loss: 0.018 | Acc: 99.609% (3060/3072)              
