cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
Train with the pop selected dataset.
load parameters
Now try to run the algorithm POP
------------------ Start to select subsets ------------------
Selected 24951 samples for weakkness <= 13.
Train with the selected 24951 samples.
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [>................................................................] 1/98   Step: 1m798ms | Tot: 0ms | Loss: 0.192 | Acc: 93.359% (239/256)              
 [>................................................................] 2/98   Step: 1s982ms | Tot: 1s982ms | Loss: 0.186 | Acc: 93.359% (478/512)              
 [=>...............................................................] 3/98   Step: 985ms | Tot: 2s967ms | Loss: 0.182 | Acc: 93.359% (717/768)              
 [=>...............................................................] 4/98   Step: 1s137ms | Tot: 4s105ms | Loss: 0.192 | Acc: 93.164% (954/1024)              
 [==>..............................................................] 5/98   Step: 963ms | Tot: 5s69ms | Loss: 0.192 | Acc: 92.812% (1188/1280)              
 [===>.............................................................] 6/98   Step: 974ms | Tot: 6s43ms | Loss: 0.182 | Acc: 93.424% (1435/1536)              
 [===>.............................................................] 7/98   Step: 964ms | Tot: 7s8ms | Loss: 0.172 | Acc: 93.862% (1682/1792)              
 [====>............................................................] 8/98   Step: 967ms | Tot: 7s975ms | Loss: 0.173 | Acc: 93.799% (1921/2048)              
 [=====>...........................................................] 9/98   Step: 1s65ms | Tot: 9s40ms | Loss: 0.171 | Acc: 93.924% (2164/2304)              
 [=====>...........................................................] 10/98   Step: 963ms | Tot: 10s3ms | Loss: 0.166 | Acc: 94.180% (2411/2560)              
 [======>..........................................................] 11/98   Step: 968ms | Tot: 10s972ms | Loss: 0.160 | Acc: 94.389% (2658/2816)              
 [=======>.........................................................] 12/98   Step: 960ms | Tot: 11s932ms | Loss: 0.159 | Acc: 94.434% (2901/3072)              
 [=======>.........................................................] 13/98   Step: 1s84ms | Tot: 13s17ms | Loss: 0.157 | Acc: 94.651% (3150/3328)              
 [========>........................................................] 14/98   Step: 970ms | Tot: 13s988ms | Loss: 0.152 | Acc: 94.754% (3396/3584)              
 [=========>.......................................................] 15/98   Step: 968ms | Tot: 14s957ms | Loss: 0.150 | Acc: 94.922% (3645/3840)              
 [===================================>.............................] 23/40   Step: 414ms | Tot: 9s690ms | Loss: 0.212 | Acc: 93.224% (5489/5888)              
 [=====================================>...........................] 24/40   Step: 414ms | Tot: 10s105ms | Loss: 0.211 | Acc: 93.262% (5730/6144)              
 [=======================================>.........................] 25/40   Step: 414ms | Tot: 10s519ms | Loss: 0.214 | Acc: 93.219% (5966/6400)              
 [========================================>........................] 26/40   Step: 518ms | Tot: 11s37ms | Loss: 0.218 | Acc: 93.134% (6199/6656)              
 [==========================================>......................] 27/40   Step: 414ms | Tot: 11s452ms | Loss: 0.217 | Acc: 93.128% (6437/6912)              
 [===========================================>.....................] 28/40   Step: 415ms | Tot: 11s868ms | Loss: 0.219 | Acc: 93.122% (6675/7168)              
 [=============================================>...................] 29/40   Step: 414ms | Tot: 12s282ms | Loss: 0.216 | Acc: 93.171% (6917/7424)              
 [===============================================>.................] 30/40   Step: 414ms | Tot: 12s697ms | Loss: 0.214 | Acc: 93.268% (7163/7680)              
 [================================================>................] 31/40   Step: 520ms | Tot: 13s217ms | Loss: 0.212 | Acc: 93.296% (7404/7936)              
 [==================================================>..............] 32/40   Step: 414ms | Tot: 13s631ms | Loss: 0.210 | Acc: 93.359% (7648/8192)              
 [====================================================>............] 33/40   Step: 413ms | Tot: 14s45ms | Loss: 0.211 | Acc: 93.359% (7887/8448)              
 [=====================================================>...........] 34/40   Step: 414ms | Tot: 14s460ms | Loss: 0.211 | Acc: 93.382% (8128/8704)              
 [=======================================================>.........] 35/40   Step: 413ms | Tot: 14s873ms | Loss: 0.211 | Acc: 93.426% (8371/8960)              
 [========================================================>........] 36/40   Step: 374ms | Tot: 15s248ms | Loss: 0.215 | Acc: 93.338% (8602/9216)              
 [==========================================================>......] 37/40   Step: 472ms | Tot: 15s720ms | Loss: 0.214 | Acc: 93.317% (8839/9472)              
 [============================================================>....] 38/40   Step: 373ms | Tot: 16s94ms | Loss: 0.217 | Acc: 93.257% (9072/9728)              
 [=============================================================>...] 39/40   Step: 370ms | Tot: 16s464ms | Loss: 0.217 | Acc: 93.249% (9310/9984)              
 [===============================================================>.] 40/40   Step: 2s386ms | Tot: 18s851ms | Loss: 0.217 | Acc: 93.260% (9326/10000)
Saving with better validation accuracy model: 93.260..

Epoch: 1
 [>................................................................] 1/98   Step: 3s28ms | Tot: 0ms | Loss: 0.037 | Acc: 99.609% (255/256)              
 [>................................................................] 2/98   Step: 1s134ms | Tot: 1s134ms | Loss: 0.037 | Acc: 99.219% (508/512)              
 [=>...............................................................] 3/98   Step: 965ms | Tot: 2s99ms | Loss: 0.035 | Acc: 99.219% (762/768)              
 [=>...............................................................] 4/98   Step: 965ms | Tot: 3s64ms | Loss: 0.034 | Acc: 99.121% (1015/1024)              
 [==>..............................................................] 5/98   Step: 965ms | Tot: 4s30ms | Loss: 0.037 | Acc: 98.984% (1267/1280)              
 [===>.............................................................] 6/98   Step: 1s75ms | Tot: 5s106ms | Loss: 0.039 | Acc: 98.828% (1518/1536)              
 [===>.............................................................] 7/98   Step: 977ms | Tot: 6s84ms | Loss: 0.041 | Acc: 98.828% (1771/1792)              
