cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 1
Train with the cl selected dataset.
------------------ Start to select subsets ------------------
Selected 70 percent training data.
Use multiple GPU to train the network.
Use 150 epochs

Epoch: 0
 [>................................................................] 1/110   Step: 1m3s | Tot: 0ms | Loss: 2.337 | Acc: 9.375% (24/256)              
 [>................................................................] 2/110   Step: 1s980ms | Tot: 1s980ms | Loss: 2.317 | Acc: 13.086% (67/512)              
 [=>...............................................................] 3/110   Step: 986ms | Tot: 2s967ms | Loss: 2.252 | Acc: 15.495% (119/768)              
 [=>...............................................................] 4/110   Step: 1s133ms | Tot: 4s100ms | Loss: 2.232 | Acc: 16.113% (165/1024)              
 [==>..............................................................] 5/110   Step: 957ms | Tot: 5s58ms | Loss: 2.231 | Acc: 16.875% (216/1280)              
 [==>..............................................................] 6/110   Step: 962ms | Tot: 6s20ms | Loss: 2.208 | Acc: 17.513% (269/1536)              
 [===>.............................................................] 7/110   Step: 958ms | Tot: 6s979ms | Loss: 2.207 | Acc: 18.248% (327/1792)              
 [====>............................................................] 8/110   Step: 964ms | Tot: 7s943ms | Loss: 2.192 | Acc: 18.359% (376/2048)              
 [====>............................................................] 9/110   Step: 1s62ms | Tot: 9s6ms | Loss: 2.190 | Acc: 19.575% (451/2304)              
 [=====>...........................................................] 10/110   Step: 957ms | Tot: 9s964ms | Loss: 2.175 | Acc: 19.805% (507/2560)              
 [=====>...........................................................] 11/110   Step: 958ms | Tot: 10s923ms | Loss: 2.173 | Acc: 20.348% (573/2816)              
 [======>..........................................................] 12/110   Step: 952ms | Tot: 11s875ms | Loss: 2.169 | Acc: 20.573% (632/3072)              
 [=>...............................................................] 2/40   Step: 422ms | Tot: 422ms | Loss: 1.791 | Acc: 40.820% (209/512)              
 [===>.............................................................] 3/40   Step: 418ms | Tot: 841ms | Loss: 1.861 | Acc: 38.542% (296/768)              
 [====>............................................................] 4/40   Step: 418ms | Tot: 1s259ms | Loss: 1.866 | Acc: 38.672% (396/1024)              
 [======>..........................................................] 5/40   Step: 614ms | Tot: 1s874ms | Loss: 1.847 | Acc: 39.062% (500/1280)              
 [========>........................................................] 6/40   Step: 418ms | Tot: 2s293ms | Loss: 1.855 | Acc: 38.411% (590/1536)              
 [=========>.......................................................] 7/40   Step: 418ms | Tot: 2s711ms | Loss: 1.847 | Acc: 39.118% (701/1792)              
 [===========>.....................................................] 8/40   Step: 417ms | Tot: 3s128ms | Loss: 1.838 | Acc: 39.795% (815/2048)              
 [=============>...................................................] 9/40   Step: 418ms | Tot: 3s547ms | Loss: 1.835 | Acc: 39.540% (911/2304)              
 [==============>..................................................] 10/40   Step: 417ms | Tot: 3s964ms | Loss: 1.855 | Acc: 39.062% (1000/2560)              
 [================>................................................] 11/40   Step: 522ms | Tot: 4s486ms | Loss: 1.838 | Acc: 39.737% (1119/2816)              
 [=================>...............................................] 12/40   Step: 417ms | Tot: 4s903ms | Loss: 1.846 | Acc: 39.095% (1201/3072)              
 [===================>.............................................] 13/40   Step: 418ms | Tot: 5s322ms | Loss: 1.844 | Acc: 39.093% (1301/3328)              
 [=====================>...........................................] 14/40   Step: 422ms | Tot: 5s745ms | Loss: 1.844 | Acc: 39.062% (1400/3584)              
 [======================>..........................................] 15/40   Step: 434ms | Tot: 6s180ms | Loss: 1.853 | Acc: 38.724% (1487/3840)              
 [========================>........................................] 16/40   Step: 538ms | Tot: 6s718ms | Loss: 1.854 | Acc: 38.843% (1591/4096)              
